title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
WOGRU-IDS — An intelligent intrusion detection system for IoT assisted Wireless Sensor Networks,https://dl.acm.org/doi/10.1016/j.comcom.2022.10.001,1,research-article,ACM,2022,"One of the key mechanisms of the current electronic and wireless frameworks is the assistance of Wireless Sensor Networks (WSN) in Internet of Things (IoT) networks. A WSN typically consists of multipurpose sensor hubs for data sensing, processing, and communication. These networks are more suited to conveying medical data from various geographical regions and sending private medical data to the network owner. However, the worry about various attacks on health care data normally grows daily. These assaults could quickly have adverse impacts on the WSN-IoT (Internet of Things) nodes. Additionally, the low detection rate, significant processing overhead, and resource limitations of current intrusion detection systems all contribute to an increase in false alarm rates when trying to identify various attacks. The unique Whale Optimized Gate Recurrent Unit (WOGRU) Intrusion Detection System (IDS) for WSN-IoT networks is proposed in this research in light of the aforementioned issues in order to effectively identify various attacks. The whale algorithm was used in the proposed framework to tune the hyperparameters of the deep long short-term memory in order to achieve low computational overhead and great performance. Last but not least, validations are carried out using the WSN-DS dataset, and the performance of the suggested work is evaluated using the parameters accuracy, recall, precision, specificity, and F1-score. Additionally, the comparison study was conducted using the current frameworks. The data demonstrates that the suggested framework had an average performance of 99.85 percent for the detection of flooding, scheduling, black hole, and gray hole attacks.Graphical abstractDisplay OmittedHighlights•A Novel and Hybrid Learning Model based WSN-IOT-IDS (WOGRU-WSN-IDS) has been proposed. The whale algorithm optimises GRU network hyperparameters, solving classification issues and high-speed detection.•This paper employs WSN-DS datasets for experiments and a learning model-based IDS system for comparison.•A scalable, high accurate, high speed WOGRU IDS System is introduced to handle the larger WSN datasets.",none
Hybrid ant colony and intelligent water drop algorithm for route planning of unmanned aerial vehicles,https://dl.acm.org/doi/10.1016/j.compeleceng.2023.108957,0,research-article,ACM,2023,"ts•A mathematical model of the UAV route planning problem is established.•A hybrid ACO-IWD algorithm, which combines the advantages of the ACO and IWD algorithms, is proposed to solve the UAV route planning problem.•A novel node selection strategy is designed to guide the attempts of the agents to search for routes in a reasonable direction and increase their search efficiency.•The advantages of the proposed algorithm over the state-of-the-art algorithms are demonstrated by extensive experimental results.AbstractRoute planning is a crucial element in unmanned aerial vehicle (UAV) systems, particularly in autonomous UAV technology. In the past decades, various algorithms have been proposed for UAV route planning. However, they still have defects, such as stagnation and slow search rates. In this study, a novel hybrid algorithm which integrates ant colony optimization (ACO) and intelligent water drop (IWD) is proposed for UAV route planning. First, the advantages of the IWD and ACO algorithms are combined in an iterative strategy, to ensure mutual cooperation via exchange of information for route optimization. Initially, the water drops optimize the soil and pheromones within the environment simultaneously to generate good approximate solutions and an initial pheromone distribution for the ant colony. Based thereupon, the ant colony roams the solution space to further optimize the routes, thus combining the exploration potential and exploitability of two types of agents. Additionally, a novel node selection strategy is proposed to guide the agents’ route planning along a reasonable direction. Compared with state-of-the-art algorithms, the convergence accuracy, success rate, and stability of the proposed algorithm exhibited significant improvements of approximately 8.25%, 4.20%, and 66.20%, respectively.",none
"Software-Defined Networking Routing Algorithms: Issues, QoS and Models",https://dl.acm.org/doi/10.1007/s11277-023-10516-y,0,review-article,ACM,2023,"Routing algorithms play a vital role in network communication for information technology. Classic networks usually exploit distributed routing algorithms which pave the way to issues in controlling the network paths and accessing the data in concern with the global topology. The recently developed Software Defined Networking (SDN) is flexibly scalable and is more cost-efficient for operators and vendors of information technology. Software-defined networking is a new type of network with emerging ideas and the ability to adapt network parameters. To adapt to the changing environment the data processing (data plane) and the logic processing (control plane) layers are separated in SDN. The separation in the data plane and control plane improved the traffic and routing performance of the network. The applications of SDN are accelerating in the optical network, vehicular network, Internet-of-Things, underwater communication, Adhoc network, and wireless sensor network applications. The routing mechanism of data packets varies in accordance with the application to meet the quality of service and the quality of experience of the users. This article provides an in-depth analysis of the various routing algorithms used in different communication links like unicast and multicast communication and also discusses the merits and demerits availed of it based on the most imperative and essential parameters. A variety of research articles in the field have been chosen which were published during the period from 2015 to 2022. This research investigation would spur the research community of network communication towards more novel methodologies of SDN routing algorithms.",none
(ReLBT): A Reinforcement learning-enabled listen before talk mechanism for LTE-LAA and Wi-Fi coexistence in IoT,https://dl.acm.org/doi/10.1016/j.comcom.2019.11.055,5,research-article,ACM,2020,"The emergence of Internet of Things (IoT) has increased number of connected devices and consequently transmitted traffic over the Internet. In this regard, Long Term Evolution (LTE) is growing its utilization in unlicensed spectrum as well, and Licensed Assisted Access (LAA) technology is one of the examples. However, unlicensed spectrum is already occupied by other wireless technologies, such as Wi-Fi. The diverse and dissimilar physical layer and medium access control (MAC) layer configurations of LTE-LAA and Wi-Fi lead to coexistence challenges in the network. Currently, LTE-LAA uses a listen-before-talk (LBT) mechanism, and Wi-Fi uses a carrier sense multiple access with collision avoidance (CSMA/CA) as a channel access mechanism. LBT and CSMA/CA are moderately similar channel access mechanisms. However, there is an efficient coexistence issue when these two technologies coexist. Therefore, this paper proposes a Reinforcement Learning-enabled LBT (ReLBT) mechanism for efficient coexistence of LTE-LAA and Wi-Fi scenarios. Specifically, ReLBT utilizes a channel collision probability as a reward function to optimize its channel access parameters. Simulation results show that the proposed ReLBT mechanism efficiently enhances the coexistence of LTE-LAA and Wi-Fi as compared to the LBT, thus improves fairness performance.Graphical abstractDisplay OmittedHighlights•Long Term Evolution (LTE) is growing its utilization in unlicensed spectrum as well, and Licensed Assisted Access (LAA) technology is one of the examples.•unlicensed spectrum is already occupied by other wireless technologies, such as Wi-Fi.•The diverse and dissimilar physical layer and medium access control (MAC) layer configurations of LTE-LAA and Wi-Fi lead to coexistence challenges in the network.•Reinforcement Learning is a behaviorist learning technique, which uses experience from the environment to optimize its performance.•This paper proposes a RL-enabled LBT (ReLBT) mechanism for efficient coexistence of LTE-LAA and Wi-Fi scenarios.•Specifically, ReLBT utilizes a channel collision probability as a reward function to optimize its channel access parameters.",none
An adaptive leak localisation system based on a multi-level analytics framework in piping network,https://dl.acm.org/doi/10.1504/ijsnet.2021.117231,0,research-article,ACM,2021,"Leak localisation is a growing concern in water distribution system (WDS). The conventional time-correlation analysis incorporates with acoustic sensing is a feasible leak localisation technique in single pipeline system. However, this technique is impractical and time-consuming in a piping network due to multi-directional transmission waves from the leak source. In this paper, we propose an adaptive leak localisation system incorporating a remote-acoustic sensor network and a multi-level analytics framework (MLAF) for piping networks. The MLAF overcomes the multi-directional waves issue in piping networks. The system is adopted with an automated flow control algorithm to ensure time-effective localisation without needs of human supervision. The performance of MLAF has been evaluated based on several emulated piping networks with various network topologies. The characterisation results demonstrated high adaptiveness and location accuracies. The excellent results of field prediction in a local district metered area (DMA) further validated the feasibility of the MLAF.",none
FL-Sleep: Temperature adaptive multi-attribute sleep-scheduling algorithm using hesitant fuzzy logic for Wireless Sensor Networks▪,https://dl.acm.org/doi/10.1016/j.asoc.2022.108910,2,research-article,ACM,2022,"The sustainable operation of sensor nodes in Wireless Sensor Network depends on the nodes’ adaptability with the environment. A sensor node strives to live longer using periodic sleep/awake activity. But it fails to achieve considerable success due to the node’s inability to make the sleep/awake strategy adaptive to the environment. To this end, we propose an algorithm, ‘FL-Sleep’ which makes every node in the network to observe the ambient temperature and status of their parameters after every round of operation. Depending on their perception of the parameters, the nodes execute a sleep-scheduling strategy in the subsequent round. It makes the node evaluate its current state and decide the required action (’Active’, ‘Listen’ or ‘Sleep’) to perform. A node working in a favorable condition would decide the action with an optimistic attitude towards the parameters. In contrast, a critical condition of a node compels it to decide pessimistically. This qualitative measurement provides a precise understanding of the environment. ‘FL-Sleep’ works on hesitant fuzzy logic-based Multi-Criteria Decision Making method and is found to improve the network’s lifetime by 247.11% compared to BMAC, by 68.56% compared to SOPC, and by 77.2% compared to RL-Sleep. The best lifetime of nodes is obtained when the network is organized in spiral topology. ‘FL-Sleep’ shows better performance in terms of packet-delivery-ratio, energy efficiency, and the number of active nodes in the network compared to BMAC, SOPC, and RL-Sleep.Graphical abstractDisplay OmittedHighlights•FL-Sleep implements a temperature adaptive multi-attribute sleep-scheduling technique.•The proposed algorithm enables the sensors nodes to observe suitable actions after evaluating its current state.•FL-Sleep implements a qualitative assessment of the parameters and defines state of a node as Optimistic or Pessimistic.•FL-Sleep is based on the Hesitant Fuzzy Linguistic Term Set (HFLTS) and Multi-Criteria Decision Making (MCDM) method.•FL-Sleep exhibits consistent improvement in performance over other state-of-art algorithms in different network topologies.",none
"AQ-Routing: mobility-, stability-aware adaptive routing protocol for data routing in MANET–IoT systems",https://dl.acm.org/doi/10.1007/s10586-019-02937-x,8,research-article,ACM,2020,"Internet of Things, is an innovative technology which allows the connection of physical things with the digital world through the use of heterogeneous networks and communication technologies. In an IoT system, a major role is played by the wireless sensor network as its components comprise: sensing, data acquiring, heterogeneous connectivity and data processing. Mobile ad-hoc networks are highly self reconfiguring networks of mobile nodes which communicate through wireless links. In such a network, each node acts both as a router and host at the same time. The interaction between MANETs and Internet of Things opens new ways for service provision in smart environments and challenging issues in its networking aspects. One of the main issues in MANET–IoT systems is the mobility of the network nodes: routing protocol must react effectively to the topological changes into the algorithm design. We describe the design and implementation of AQ-Routing, and analyze its performance using both simulations and measurements based on our implementation. In general, the networking of such a system is very challenging regarding routing aspects. Also, it is related to system mobility and limited network sensor resources. This article builds upon this observation an adaptive routing protocol (AQ-Routing) based on Reinforcement Learning (RL) techniques, which has the ability to detect the level of mobility at different points of time so that each individual node can update routing metric accordingly. The proposed protocol introduces: (i) new model, developed via Q-learning technique, to detect the level of mobility at each node in the network; (ii) a new metric, called Qmetric, which account for the static and dynamic routing metrics, and which are combined and updated to the changing network topologies. The protocol can efficiently handle network mobility by a way of preemptively adapting its behaviour thanks to the mobility detection model. The presented results of simulation provide an effective approach to improve the stability of links in both static and mobile scenario and, hence, increase the packet delivery ratio in the global MANET–IoT system.",none
QoS-Attentive Learning-based Routing for Scalable WSNs,https://dl.acm.org/doi/10.1145/3484824.3484906,1,research-article,ACM,2022,"A sensor node (SN) in Wireless Sensor Networks (WSN) has a limited amount of energy outfitted with a battery. Generally, sensors are positioned in such an environment wherever it is typical to reach the sensors and change or recharge them. QoS is critical in prolonging the network lifetime and attaining better throughput for a large network in WSN. Hence, a practical protocol is required that improves QoS and enhances the lifetime of the network. In this paper, QoS Learning Approach (QoS-LA) using Reinforcement Learning is developed and assessed. The proposed routing approach prolongs network lifetime by electing the optimum route to send data. The best route is selected as per extreme residual power at SN for a next-hop with excellence link and delay with error rate. The proposed approach is implemented on MATLAB on various SNs 100--1000.to judge the effectiveness on multiple parameters and assessed with state-of-the-art algorithms CNN, QoS-R, and KNN. The Simulation outcomes reveal that the QoS-LA approach offers the better results in terms of energy consumption reduces 14%-16%, number of alive nodes enhances 18%-20% that provides the network lifetime, and enhances the throughput to send data to base station 9%-11%.",none
Evolution and sustainability of a wildlife monitoring sensor network,https://dl.acm.org/doi/10.1145/1869983.1869997,123,research-article,ACM,2010,"As sensor network technologies become more mature, they are increasingly being applied to a wide variety of applications, ranging from agricultural sensing to cattle, oceanic and volcanic monitoring. Significant efforts have been made in deploying and testing sensor networks resulting in unprecedented sensing capabilities. A key challenge has become how to make these emerging wireless sensor networks more sustainable and easier to maintain over increasingly prolonged deployments.In this paper, we report the findings from a one year deployment of an automated wildlife monitoring system for analyzing the social co-location patterns of European badgers (Meles meles) residing in a dense woodland environment.We describe the stages of its evolution cycle, from implementation, deployment and testing, to various iterations of software optimization, followed by hardware enhancements, which in turn triggered the need for further software optimization. We report preliminary descriptive analyses of a subset of the data collected, demonstrating the significant potential our system has to generate new insights into badger behavior. The main lessons learned were: the need to factor in the maintenance costs while designing the system; to look carefully at software and hardware interactions; the importance of a rapid initial prototype deployment (this was key to our success); and the need for continuous interaction with domain scientists which allows for unexpected optimizations.",none
Multivariate weighted isotonic regressive modest adaptive boosting-based resource-aware routing in WSN,https://dl.acm.org/doi/10.1007/s00500-022-07016-9,0,research-article,ACM,2022,"WSN includes a scenario where many sensor nodes are distributed to monitor environmental conditions with route collected data toward sinks via the internet. WSNs efficiently manage the broader network with available resources, such as residual energy and wireless channel bandwidth. Therefore, a routing algorithm is essential to enhance battery-constrained networks. Many existing techniques are developed for balancing energy consumption, but the efficient routing was not achieved. The multivariate weighted isotonic regressive modest adaptive boosting-based Resource-Aware Routing (MWIRMAB-RAR) technique is introduced to enhance routing. The MWIRMAB-RAR technique includes a different process, namely resource-aware node selection, route path discovery, and data transmission. Initially, the MWIRMAB-RAR technique uses the modest adaptive boosting technique uses the multivariate weighted isotonic regression function for detecting resource-efficient sensor nodes for effective data transmission. After that, multiple route paths are established based on the time of flight method. Once after showing a route path, the source node sends data packets to the sink node via resource-efficient nodes. The data delivery was enhanced and minimized packet loss as well as delay. The simulation analysis is carried out on certain performance factors such as energy consumption, packet delivery ratio, packet loss rate, and delay with several data packets and sensor nodes. The obtained evaluation indicates that MWIRMAB-RAR outperforms well in increasing data packet delivery and reducing energy consumption, packet loss rate, and delay.",none
