title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
Machine learning approaches for underwater sensor network parameter prediction,https://dl.acm.org/doi/10.1016/j.adhoc.2023.103139,0,research-article,ACM,2023,"Underwater Acoustic Sensor Networks (UASNs) have recently attracted scientists due to its wide range of real-world applications. However, there are design challenges in UASNs, such as limited network lifetime and low communication reliability provoked by the constrained battery supply of sensors and harsh channel conditions in the underwater environments. To meet communication reliability requirements, packet-duplication and multi-path routing algorithms have been recommended in the literature. Furthermore, underwater sensors may convey sensitive data, which must be masked to avoid eavesdropping attempts. To improve network security, cryptographic encryption is the most widely used method. Nevertheless, data encryption needs computations to cipher the data, which consumes extra energy, resulting in a cutback in the life span of the network. To address these challenges, an optimization model has been proposed to evaluate the impacts of multi-path routing, packet duplication, encryption, and data fragmentation on the lifetime of the UASNs. However, the solution time of the proposed optimization model is quite high, and sometimes it cannot come up with feasible solutions. To this end, in this study, different regression and neural network methods have been proposed to predict network parameters and energy consumptions of underwater nodes as supplementary methods to optimization models. Performance evaluations show that the proposed methods yield remarkably accurate predictions and can be used for energy consumption prediction in UASNs.",none
Deep learning-based decision-making system for cooperative routing in wireless multimedia sensor network,https://dl.acm.org/doi/10.1504/ijnvo.2024.138491,0,research-article,ACM,2024,"This research aims to present a deep belief network (DBN) based a technique for choosing the most suitable cooperative nodes. Additionally, constraints such as: 1) tri-level energy consumption of nodes (text at level 1 has a lower energy level than information; at level 2, which has a medium energy level for text, image and multimedia data; level 3: higher energy levels for high-definition pictures); 2) reliability; 3) delay are examined while sending multimedia data across the network. Making the right decision, a novel hybrid dragon integrated firefly (DIFF) schemes that integrate the ideas of firefly optimisation (FF) and dragonfly optimisation (DA) method is intended to adjust the optimal weight of DBN. The chosen scheme's efficiency is then compared to other traditional methods in terms of alive nodes, delay, residual energy, network lifespan and analysis method.",none
Towards modeling the behavior of physical intruders in a region monitored by a wireless sensor network,https://dl.acm.org/doi/10.1145/1866423.1866425,1,research-article,ACM,2010,"A priority task for homeland security is the coverage of large spans of open border that cannot be continuously physically monitored for intrusion. Low-cost monitoring solutions based on wireless sensor networks have been identified as an effective means to perform perimeter monitoring. An ad-hoc wireless sensor network scattered near a border could be used to perform surveillance over a large area with relatively little human intervention. Determining the effectiveness of such an autonomous network in detecting and thwarting an intelligent intruder is a difficult task. We propose a model for an intelligent attacker that attempts to find a detection-free path in a region with sparse sensing coverage. In particular, we apply reinforcement learning (RL) - a machine learning approach - for our model. RL algorithms are well suited for scenarios in which specifying and finding an optimal solution is difficult. By using RL, our attacker can easily adapt to new scenarios by translating constraints into rewards. We compare our RL-based technique to a reasonable heuristic in simulation. Our results suggest that our RL-based attacker model is significantly more effective, and therefore more realistic, than the heuristic approach.",none
Balancing module in evolutionary optimization and Deep Reinforcement Learning for multi-path selection in Software Defined Networks,https://dl.acm.org/doi/10.1016/j.phycom.2022.101956,1,research-article,ACM,2023,"Software Defined Network (SDN) has been used in many organizations due to its efficiency in transmission. Machine learning techniques have been applied in SDN to improve its efficiency in resource scheduling. The existing models in SDN have limitations of overfitting, local optima trap and lower efficiency in path selection. This study applied Balancing Module (BM)-Spider Monkey Optimization (SMO)-Crow Search Algorithm (CSA) for multi path selection in SDN to improve its efficiency. The balancing module applies Gaussian distribution to balance between exploration and exploitation in the multi-path selection process. The Balancing module helps to escape local optima trap and increases the convergence rate. Deep Reinforcement learning is applied for resource scheduling in SDN. The Deep reinforcement learning technique uses the reward function to improve the learning performance, and the BM-SMO-CSA technique has 30 J energy consumption, where the existing models: DRL has 40 J energy consumption, and Graph-ACO has 62 J energy consumption.",none
A digital twin-based energy-efficient wireless multimedia sensor network for waterbirds monitoring,https://dl.acm.org/doi/10.1016/j.future.2024.02.011,0,research-article,ACM,2024,"Wetlands play a critical role in maintaining the global climate, regulating the hydrological cycle, and protecting human health. However, they are rapidly disappearing due to human activities. Waterbirds are valuable bio-indicators of wetland health, but it is challenging to monitor them effectively. Wireless Multimedia Sensor Networks (WMSNs) offer a promising technology for monitoring wetlands. Nonetheless, these networks are constrained in terms of energy, and also encounter challenges associated with large-scale deployments under natural environmental conditions. These conditions introduce harsh circumstances that may not have been anticipated during the pre-deployment testing phase. This paper proposes a Digital Twin (DT) based energy-efficient WMSN monitoring system specifically tailored for waterbirds in wetlands. The system utilizes a unique approach that combines local audio identification and image compression with DT technology to optimize network performance and minimize energy consumption. To reduce unnecessary image transmissions, the system employs a real-time, low-complexity local audio identification phase before triggering image capture. A denoising step is employed to achieve highly accurate bird recognition despite surrounding noises. Each image undergoes a low-complexity compression scheme prior to transmission, further enhancing energy efficiency. To enhance the system’s overall efficiency and effectiveness, DT technology is integrated to create real-time replicas of the WMSN and the monitoring application. A synergistic interaction between the two DTs enables cooperative data-making decision that ensures both QoS (Quality of Service) and QoE (Quality of Experience) requirements are met. Transmission rate control is done using a fuzzy logic decision-making technique. Real-time feedback provides rapid and accurate analysis of the current state of the WMSN, allowing for dynamic adjustments. The ”what-if scenarios” feature of the implemented DTs has been effectively leveraged to find the most suitable settings for the controller. The effectiveness and performance enhancements achieved by integrating DT into our WMSN-based surveillance system are validated through comprehensive experiments in scenarios that correspond to a real-world wetland. Comparative analyses demonstrate the undeniable benefits of the DT-integrated system compared to a conventional WMSN-based surveillance setup. In particular, the results demonstrate the system’s superior performance in terms of energy efficiency, real-time monitoring capabilities, and ability to handle multiple video sources.Highlights•Migratory waterbirds are a good indicator of the natural environment.•WMSN are proposed for continuous non-invasive monitoring of birds in their natural habitat.•Conventional WMSN lack optimized energy and struggle with unpredictable conditions in natural environments.•Audio identification prior to image capture is used to achieve significant energy savings.•Digital Twin is leveraged to enable real-time control and system optimization.",none
Heuristically accelerated reinforcement learning for channel assignment in wireless sensor networks,https://dl.acm.org/doi/10.1504/ijsnet.2021.118877,0,research-article,ACM,2021,"In wireless sensor networks (WSNs), multi-channel communication represents an attractive field due to its advantage in improving throughput and delivery rate. However, the major challenge that faces WSNs is the energy constraint. To overcome the channel assignment problem in an energy-efficient way, reinforcement learning (RL) approach is used. Though, RL requires several iterations to obtain the best solution, creating a communication overhead and time-wasting. In this paper, a heuristically accelerated reinforcement learning approach for channel assignment (HARL CA) in WSNs is proposed to reduce the learning iterations. The proposal considers the selected channel by the neighboring sender nodes as external information, used to accelerate the learning process and to avoid collisions, while the bandwidth of the used channel is regarded as an important factor in the scheduling process to increase the delivery rate. The results of extensive simulation experiments show the effectiveness of our approach in improving the network lifetime and performance.",none
An adaptive learning scheme for load balancing with zone partition in multi-sink wireless sensor network,https://dl.acm.org/doi/10.1016/j.eswa.2012.02.119,10,research-article,ACM,2012,"Highlights We propose an adaptive learning scheme for load balancing scheme in multi-sink WSN. The mobile anchor adaptively partitions the network into several zones. The agent learns to balance the load in the way of reallocate the collection zones. The agent applies the residual energy of hotspots around sink nodes. The proposed QAZP scheme prolongs the lifetime of the wireless sensor network. In many researches on load balancing in multi-sink WSN, sensors usually choose the nearest sink as destination for sending data. However, in WSN, events often occur in specific area. If all sensors in this area all follow the nearest-sink strategy, sensors around nearest sink called hotspot will exhaust energy early. It means that this sink is isolated from network early and numbers of routing paths are broken. In this paper, we propose an adaptive learning scheme for load balancing scheme in multi-sink WSN. The agent in a centralized mobile anchor with directional antenna is introduced to adaptively partition the network into several zones according to the residual energy of hotspots around sink nodes. In addition, machine learning is applied to the mobile anchor to make it adaptable to any traffic pattern. Through interactions with the environment, the agent can discovery a near-optimal control policy for movement of mobile anchor. The policy can achieve minimization of residual energy's variance among sinks, which prevent the early isolation of sink and prolong the network lifetime.",none
Application Research of Time Delay System Control in Mobile Sensor Networks Based on Deep Reinforcement Learning,https://dl.acm.org/doi/10.1155/2022/7844719,1,research-article,ACM,2022,"One of the main problems of networked control systems is that signal transmission delay is inevitable due to long distance transmission. This will affect the performance of the system, such as stability range, adjustment time, and rise time, and in serious cases, the system cannot maintain a stable state. In this regard, a definite method is adopted to realize the compensation of network control system. To improve the control ability of mobile sensor network time delay system, the control model of mobile sensor network time delay system based on reinforcement learning is proposed, and the control objective function of mobile sensor network time delay system is constructed by using high-order approximate differential equation, combined with maximum likelihood estimation method for parameter estimation of mobile sensor network time delay, the convergence of reinforcement learning methods for mobile sensor network control and adaptive scheduling, and sensor network time delay system control model of multidimensional measure information registration in strengthening tracking learning optimization mode to realize the adaptive control of mobile sensor network time delay system. The simulation results show that the proposed method has good adaptability, high accuracy of estimation of delay parameters, and strong robustness of the control process.",none
GAPSO-SVM: An IDSS-based Energy-Aware Clustering Routing Algorithm for IoT Perception Layer,https://dl.acm.org/doi/10.1007/s11277-021-09051-5,0,research-article,ACM,2022,"With the emergence of Internet of Things (IoT) having large scale and generating huge amount of data, Intelligent Decision Support Systems (IDSSs) have attracted a lot of attention for provisioning the required Quality of Service. IoT perception layer is responsible for data dissemination of the “Things”, and energy efficient clustering protocols play an important role in providing them with long-time battery operation. Clustering routing protocols are among the most efficient methods in large scale IoT networks and using location-based decision support can highly simplify the routing problem. Existing literature either assume that the nodes’ location is known, or rely on the expensive and energy consuming GPS modules which are not practical in most IoT use cases. Developing a low-cost and low-energy localization solution is an ongoing challenge. In this paper, an IDSS based clustering routing protocol, named GAPSO-SVM, is proposed for the IoT perception layer utilizing a Support Vector Machine (SVM) based algorithm to estimate the nodes’ locations, and a hybrid Genetic Algorithm-Particle Swarm Optimization (GAPSO) based mechanism for clustering optimization. Simulation results show that, although the exact location of the nodes is not available, compared with recent similar works the convergence rate and network lifetime is enhanced by up to 80% and 11%, respectively.",none
Schedule-Based Cooperative Multi-agent Reinforcement Learning for Multi-channel Communication in Wireless Sensor Networks,https://dl.acm.org/doi/10.1007/s11277-021-09094-8,1,research-article,ACM,2022,"Wireless sensor networks (WSNs) have become an important component in the Internet of things (IoT) field. In WSNs, multi-channel protocols have been developed to overcome some limitations related to the throughput and delivery rate which have become necessary for many IoT applications that require sufficient bandwidth to transmit a large amount of data. However, the requirement of frequent negotiation for channel assignment in distributed multi-channel protocols incurs an extra-large communication overhead which results in a reduction of the network lifetime. To deal with this requirement in an energy-efficient way is a challenging task. Hence, the Reinforcement Learning (RL) approach for channel assignment is used to overcome this problem. Nevertheless, the use of the RL approach requires a number of iterations to obtain the best solution which in turn creates a communication overhead and time-wasting. In this paper, a Self-schedule based Cooperative multi-agent Reinforcement Learning for Channel Assignment (SCRL CA) approach is proposed to improve the network lifetime and performance. The proposal addresses both regular traffic scheduling and assignment of the available orthogonal channels in an energy-efficient way. We solve the cooperation between the RL agents problem by using the self-schedule method to accelerate the RL iterations, reduce the communication overhead and balance the energy consumption in the route selection process. Therefore, two algorithms are proposed, the first one is for the Static channel assignment (SSCRL CA) while the second one is for the Dynamic channel assignment (DSCRL CA). The results of extensive simulation experiments show the effectiveness of our approach in improving the network lifetime and performance through the two algorithms.",none
