title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
Emerging Trends of ML-based Intelligent Services for Industrial Internet of Things (IIoT),https://ieeexplore.ieee.org/document/9018815/,11,Conference Paper,IEEE,2019,"Intelligent information technology is a notable feature in the context of industry 4.0. A key factor in obtaining intelligent industrial Internet of things (IIoT) services is to integrate machine learning (ML) into IIoT. With the increasing scale of deployed terminals, IIoT becomes heterogeneous, diverse, and dynamically changeable. Traditional optimization methods are difficult to deal with the emerging network problems. This paper first proposes a ML-based IIoT architecture for intelligent IIoT services and expounds two ML methods for IIoT analysis, namely, deep learning (DL) and reinforcement learning (RL). Secondly, advanced applications and development trends of ML in industrial field are summarized. Opportunities and challenges of ML for IIoT analysis are discussed finally. The purpose of this paper is to point out the role of artificial intelligence (AI) technology in IIoT from the macroscopic view.","Internet Of Things ,  Intelligence Services ,  Industrial Internet Of Things ,  Industrial Internet ,  Machine Learning ,  Deep Learning ,  Machine Learning Methods ,  Artificial Intelligence Technology ,  Network Growth ,  Problem In Networks ,  Integration Of Machine Learning ,  Internet Of Things Services ,  Role Of Artificial Intelligence ,  Traditional Optimization Methods ,  Machine Learning Challenges ,  Learning Algorithms ,  Machine Learning Models ,  Deep Learning Models ,  Wireless Networks ,  Generative Adversarial Networks ,  Smart Grid ,  Deep Reinforcement Learning ,  Smart Manufacturing ,  Operation And Maintenance ,  Wireless Sensor Networks ,  Wide Area Network ,  Transport Layer ,  Information Security ,  Knowledge Discovery ,  Intelligent Transportation "
A Survey of Machine Learning Techniques Applied to Software Defined Networking (SDN): Research Issues and Challenges,https://ieeexplore.ieee.org/document/8444669/,455,Journal Article,IEEE,2019,"In recent years, with the rapid development of current Internet and mobile communication technologies, the infrastructure, devices and resources in networking systems are becoming more complex and heterogeneous. In order to efficiently organize, manage, maintain and optimize networking systems, more intelligence needs to be deployed. However, due to the inherently distributed feature of traditional networks, machine learning techniques are hard to be applied and deployed to control and operate networks. Software defined networking (SDN) brings us new chances to provide intelligence inside the networks. The capabilities of SDN (e.g., logically centralized control, global view of the network, software-based traffic analysis, and dynamic updating of forwarding rules) make it easier to apply machine learning techniques. In this paper, we provide a comprehensive survey on the literature involving machine learning algorithms applied to SDN. First, the related works and background knowledge are introduced. Then, we present an overview of machine learning algorithms. In addition, we review how machine learning algorithms are applied in the realm of SDN, from the perspective of traffic classification, routing optimization, quality of service/quality of experience prediction, resource management and security. Finally, challenges and broader perspectives are discussed.","Machine Learning ,  Machine Learning Techniques ,  Intelligence ,  Learning Algorithms ,  Resource Management ,  Machine Learning Applications ,  Global View ,  Pathfinding ,  Deep Learning ,  Support Vector Machine ,  Random Forest ,  Deep Neural Network ,  Service Quality ,  Internet Of Things ,  Unmanned Aerial Vehicles ,  Traffic Flow ,  Quality Of Experience ,  Optimal Network ,  Network Resources ,  Self-organizing Map ,  Intrusion Detection System ,  Virtual Network Functions ,  Intrusion Detection ,  Supervised Learning Algorithms ,  Control Plane ,  Random Neural Network ,  Reinforcement Learning Algorithm ,  Labeled Training Dataset ,  Wireless Sensor Networks ,  Flow Table "
An Adaptive SVM-based Routing Protocol for Underwater Acoustic Sensor Networks,https://ieeexplore.ieee.org/document/10244430/,1,Conference Paper,IEEE,2023,"Due to the harsh environment and high deployment cost, deploying underwater acoustic sensor networks (UASNs) is a challenging problem. The underwater networking technology for UASNs is becoming a hot research topic in recent years, where designing an appropriate routing protocol is crucial to effectively resolve the routing void, the packet delivery delay, and the energy utilization. In this paper, we propose an adaptive support-vector-machine-based routing (ASVMR) protocol in UASNs to prolong the network lifetime and reduce the end-to-end delay. The proposed protocol employs a distributed routing approach that considers all types of node state information to optimize the routing path dynamically in real-time. Moreover, a ""routing vector"" (a vector from the source to the sink node) is established, and a reasonable pipe radius is selected based on the degree of node sparsity. In addition, future states of nodes are adopted for decision-making. Simulation results show that the proposed ASVMR protocol performs well in terms of the packet delivery ratio, the end-to-end delay, the energy efficiency in dynamic underwater network environments.","Adaptive Routing ,  Acoustic Networks ,  Future Conditions ,  Sink Node ,  Degree Of Sparsity ,  Support Vector Machine ,  Dense Network ,  Internet Of Things ,  Kernel Function ,  Support Vector Machine Model ,  Bit Error Rate ,  Radial Basis Function Kernel ,  Bit Error ,  Data Packets ,  Residual Energy ,  Undersea ,  Decision Value ,  Mobile Nodes ,  Node Distance ,  Multi-agent Reinforcement Learning ,  Node Deployment ,  Node Depth ,  Hop Count ,  Number Of Sensor Nodes ,  Binary Phase Shift Keying ,  Recovery Mechanisms ,  Packet Loss ,  Node Density ,  Medium Access Control ,  Additive Noise "
Multi-Agent Reinforcement Learning for Mobile Crowdsensing Systems with Dedicated Vehicles on Road Networks,https://ieeexplore.ieee.org/document/9564834/,6,Conference Paper,IEEE,2021,"Vehicle fleets with on-board sensors hold promise for cost-effective mobile crowdsensing in urban areas. How such a vehicle fleet navigate collectively through a road network is critical for ensuring sufficient spatial-temporal coverage of the sensors to meet domain-specific requirements. In this paper, we develop multi-agent reinforcement learning algorithms (MARL) for centralized vehicle routing on road networks to optimize the spatial-temporal coverage. We construct an environment that is capable of incorporating user-defined weightings in a space-time domain to be covered by mobile sensing. We train the routing policy in the environment with two RL algorithms: proximal policy optimization and deep Q network in a multi-agent setting. Numerical tests on two grid networks (of sizes 20 × 20 and 30 × 30) show the proposed MARL algorithms can improve the performance by at most 56% compared with a heuristic random routing policy. Furthermore, the sensitivity analysis against different fleet sizes implies that a small number of dedicated vehicles is able to approach the limit of coverage for squared road networks. The codes for numerical experiments can be accessed at https://github.com/SpartanBin/mobile_crowd_sensing.","Road Network ,  Multi-agent Reinforcement Learning ,  Mobile Crowdsensing ,  Mobile Crowdsensing Systems ,  Environmental Policy ,  Reinforcement Learning Algorithm ,  Vehicle Routing ,  Onboard Sensors ,  Vehicle Fleet ,  Proximal Policy Optimization ,  Time Step ,  Local Information ,  Convolutional Layers ,  Shortest Path ,  State Value ,  Spatial Coverage ,  Temporal Differences ,  Urban Regions ,  Reward Function ,  Gradient Descent Method ,  Deep Q-network ,  Policy Model ,  Position Of Agent ,  Current Time Step ,  Reinforcement Learning Policy ,  Exponential Linear Unit ,  Duration Of Episodes "
Energy Optimization and Trajectory Planning for Constrained Multi-UAV Data Collection in WSNs,https://ieeexplore.ieee.org/document/10388295/,1,Journal Article,IEEE,2024,"Wireless sensor networks (WSNs) deployed in remote areas face a challenge in uploading the collected data to data centers due to limited network coverage. Unmanned aerial vehicles (UAVs) can extend network coverage to remote WSNs by flying and communicating with WSN aggregator nodes to collect data. UAV-assisted data collection systems need to be carefully developed to collect all data efficiently while considering the UAV and WSN constraints. This paper provides an energy-efficient multi-UAV data collection framework for WSNs. We formulate the data collection system as a problem that jointly optimizes the system cost and energy consumption constrained by the communication power, UAV mission time, and memory size. The problem is resolved over two steps: First, the location and number of aggregators needed are determined using a triangulation-based K-means clustering that minimizes the number of aggregators used and the system cost. Second, the dockstation position that minimizes the energy consumption is obtained using the gaining-sharing knowledge (GSK) optimization algorithm. The optimum UAV trajectory for each GSK candidate solution is designed by solving a capacitated vehicle routing problem (CVRP) that combines heuristic and metaheuristic solving techniques. Simulations show that our framework outperforms other recent techniques by minimizing the overall system cost and energy consumption.","Optimal Energy ,  Wireless Sensor Networks ,  Trajectory Planning ,  Energy Consumption ,  Energy System ,  Unmanned Aerial Vehicles ,  Sensor Networks ,  Data Collection System ,  Candidate Solutions ,  Power Communication ,  Unmanned Aerial Vehicle Trajectory ,  System Energy Consumption ,  Data Collection Framework ,  Optimization Problem ,  Time Constraints ,  Clustering Algorithm ,  Transmission Power ,  Person Years ,  Deep Reinforcement Learning ,  Battery Capacity ,  Multiple Unmanned Aerial Vehicles ,  Traveling Salesman Problem ,  Memory Constraints ,  Unmanned Aerial Vehicles Networks ,  Received Signal Strength Indicator ,  Power Of Unmanned Aerial Vehicles ,  Sensor Density ,  Objective Of Problem ,  Homogeneous Poisson Point Process ,  Speed Of The Unmanned Aerial Vehicles "
Enhancement in 6G Intelligent Network Technologies using Cognitive Radio Network,https://ieeexplore.ieee.org/document/10430814/,0,Conference Paper,IEEE,2023,"The foundational principles of emerging wireless networks such as 5G, cognitive radio, and the prospective Internet have already integrated a multitude of prerequisites from the realm of the Internet of Things (IoT). The utilization of 6G technology opens up the possibility of conducting surgeries from a remote location. The rapid and efficient transmission of medical data can be enabled by the substantial data rates, minimal latency, and viability inherent in the 6G cognitive radio network, thereby potentially elevating both the quality of healthcare and its accessibility. The enhancement of Quality of Service (QoS) crucially depends on resolving the intricacies associated with routing Secondary Users (SUs) in a multi-hop fashion. To cater to the decentralized nature of Cognitive Radio Networks (CRN) within the context of a 6G-oriented Internet of Things (IoT) infrastructure, it becomes imperative to formulate solutions for routing SUs that do not hinge on cooperative mechanisms. The present routing protocols predominantly focus on defining an interference range for SUs, aimed at mitigating user interference. However, these limitations primarily consider interference with Primary Users (PUs) and do not align with the fulfillment of regulations set forth by the Federal Communication Commission (FCC). To address these challenges, a proactive method employs non-cooperative reinforcement learning techniques to systematically formulate IoT network routing strategies enhanced by 6G and cognitive radio capabilities. This pursuit introduces a novel Q-learning algorithm that modifies the existing Ad-hoc on-Demand Distance Vector Routing protocol (AODV), enhancing the reconfiguration process.","Wireless Networks ,  Cognitive Networks ,  Cognitive Radio ,  Data Rate ,  Service Quality ,  Health Quality ,  Internet Of Things ,  Federal Communications Commission ,  Q-learning Algorithm ,  Secondary Users ,  Frequency Band ,  Communication Network ,  Information And Communication Technologies ,  Unmanned Aerial Vehicles ,  Physical Layer ,  Channel Selection ,  Wireless Sensor Networks ,  Nash Equilibrium ,  Cyber-physical Systems ,  Channel Access ,  Free Channel ,  Mobile Edge Computing ,  Terahertz Communications ,  Non-cooperative Game ,  Terahertz Frequency ,  User Equipment ,  Ad Hoc Networks ,  Radio Access Network ,  Baseline Configuration ,  Low Earth Orbit "
Gradient Monitored Reinforcement Learning for Jamming Attack Detection in FANETs,https://ieeexplore.ieee.org/document/10419341/,0,Journal Article,IEEE,2024,"Unmanned Aerial Vehicles (UAVs) have several military and civilian applications to perform tasks that do not require a central processing unit or human involvement. There are various vulnerable characteristics, alternatively limitations, in UAV systems such as data loss, signals interference, disabling sensors, misleading weapons, cyber attacks, disrupting services, etc. Jamming attack is one of the cyber threats that likely lead to denial of service that often occurs in wireless communication systems like Flying ad hoc networks (FANETs) and Internet of Drones (IoD). Over years, there are several approaches proposed by researchers to detect jamming attacks such as rule-based jamming attack detection mechanism, Bayesian game-theoretic mechanism, IoD-based protection mechanism, communication channel techniques (channel hopping, spectrum spreading, MIMO-based jamming mitigation, coding, etc), delay tolerant networking technique, and cryptographic algorithms, however, these methods were not suitable for jamming detection in UAV environment. The major challenges are on the delivery efficiency, processing time, accuracy, energy consumption, flight distance, and flight autonomy. In this paper, we introduce a method to detect the jamming attack using Reinforcement Learning-based Gradient Monitored (RLGM) mechanism. RLGM maintains safe regions and reduces gradient variance for intended training and this provides a better accuracy of the learning goal. In addition, RLGM achieves prompt training progress and selects precisely the series of parameters required by the network during the training phase. RLGM produces spontaneous derivation of the essential deep network scale over the training process drawing on automatically unvarying trained weights. Our proposed approach outperforms other reinforcement learning methods such as Federated RL, Deep Q Learning (DQL), in addition to non-machine learning based techniques such as GA-AOMDV.","Jamming Attacks ,  Flying Ad Hoc Networks ,  Energy Consumption ,  Unmanned Aerial Vehicles ,  Wireless Communication Systems ,  Denial Of Service ,  Ad Hoc Networks ,  Deep Q-learning ,  Unmanned Aerial Vehicle System ,  Neural Network ,  Deep Neural Network ,  Matrix Elements ,  Long Short-term Memory ,  Network Performance ,  Types Of Mechanisms ,  Base Station ,  Actor Network ,  Heaviside Function ,  Topological Changes ,  Data Packets ,  Vehicular Ad Hoc Networks ,  Global Weight ,  Decision Matrix ,  Gradient Matrix ,  Reinforcement Learning Techniques ,  Federated Learning ,  Mobile Nodes ,  Packet Delivery Ratio ,  Network Lifetime ,  Minimum Energy Consumption "
A bird's eye view on reinforcement learning approaches for power management in WSNs,https://ieeexplore.ieee.org/document/6548988/,5,Conference Paper,IEEE,2013,"This paper presents a survey on the adoption of Reinforcement Learning (RL) approaches for power management in Wireless Sensor Networks (WSNs). The survey has been carried out after a review expressly focused on the most relevant and the most recent contributions for the topic. Moreover, the analysis encompassed proposals at every methodological level, from dynamic power management to adaptive autonomous middleware, from self learning scheduling to energy efficient routing protocols.","Wireless Sensor Networks ,  Bird’s Eye ,  Power Management ,  Reinforcement Learning Approach ,  Energy Efficiency ,  Dynamic Management ,  Energy Consumption ,  Service Quality ,  Active Period ,  Duty Cycle ,  Energy Harvesting ,  Time Slot ,  Fault-tolerant ,  Reward Function ,  Ultra-wideband ,  Cooperative Model ,  Transmission Parameters ,  Reinforcement Learning Model ,  Queue Length ,  Classical Formula ,  Greedy Policy ,  Network Lifetime ,  Cluster Head ,  Routing Path ,  Exploitation And Exploration ,  Energy Harvesting Devices ,  Routing Table ,  Solar Panels ,  Global Optimization ,  Adaptive Management "
Reliable and Low-Latency Routing Mechanism for IoT-based Networks,https://ieeexplore.ieee.org/document/9037495/,2,Conference Paper,IEEE,2019,"Routing discovery is an essential component of the communication stack in low-power and lossy networks (LLNs). IPv6 routing protocol for LLNs, termed RPL, has been recently standardized for routing in LLNs leading to the Internet of Things (IoT) concept. RPL is designed with an assumption of gathering data towards a single destination, typically the root node. On the other hand, the arbitrary communication, where neither the source nor the destination is the root, is a prime requirement in most of LLNs-based actuating, decision making, and controlling applications. In this paper, we propose a reliable and low-latency routing mechanism based on RPL for high arbitrary communications in LLNs that is referred to herein by RL-RPL. RL-RPL utilizes the original RPL control features to guarantee backward-compatibility with RPL specifications. Using the cooja emulator as a platform, RL-RPL shows enhanced packet delivery ratio relative to the standard routing mechanism. In addition, it shows an average 74% reduction in delay together with an average 21.3% reduction in energy consumption across the considered traffic intensities.","ordsInternet of Things ,  low-power lossy network ,  wireless sensor network ,  RPL ,  routing ,  load balancing ,  IEEE 802.15.4 "
An Optimized Stochastic Distance Vector (OSDV) Protocol for Enhanced Energy Efficiency in Wireless Sensor Networks,https://ieeexplore.ieee.org/document/10395216/,0,Conference Paper,IEEE,2023,"In recent years, Wireless Sensor Networks (WSNs) are attracting a great deal of interest from both the business world and the academic community. WSNs are often made up of a network of Sensor Nodes (SNs), which perform various tasks, such as data collecting, interpreting, and transmitting. While batteries have been employed for powering WSNs across numerous commercial uses, their limited lifespan and cumbersome replacement need have evolved into major obstacles to the widespread adoption of WSNs. Managing energy throughout a WSN's lifecycle is crucial. In this research a new Optimized Stochastic Distance Vector (OSDV) protocol has been proposed to improve the energy efficiency of WSN using a distance metric, which is the focus of this research. To determine the Sink Node (SiN) distance, it compare the initial distance from a fixed point to the final distance needed for reaching the SiN. Data packets are sent using this protocol following an index of neighboring SN metrics. To improve the efficiency of the network, the suggested OSP prioritizes reducing energy consumption and redistributing traffic between SNs. The network's expected lifetime will increase as a result. Finally it compare the efficiency of the OSDV proposed protocol with the DMSSS current protocol concerning the metrics of “Energy Efficiency”, “Packet Delivery Ratio (PDR)”, “Throughput”, and “Routing Overhead” over the WSN.","Energy Efficiency ,  Wireless Sensor Networks ,  Throughput ,  Data Packets ,  Sink Node ,  Packet Delivery Ratio ,  Data Transmission ,  Highest Probability ,  Deep Reinforcement Learning ,  Response Information ,  Flat Structure ,  Routing Path ,  Lower Limit Value ,  Data Packet Transmission ,  Hop Count "
