title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,https://ieeexplore.ieee.org/document/9356093/,8,Conference Paper,IEEE,2020,"Driving route recommendation systems have been becoming popular due to high demands on such systems and their high socio-economic impacts. Existing route recommendation systems cannot provide a well-balanced route by considering the user preference on multiple criteria or make route recommendation in a short time. This paper presents a multi-objective route recommendation system considering three different attributes (i.e., fuel consumption, travel time, and air quality). The proposed route recommendation system uses the Q-learning based reinforcement learning algorithm to leverage the available datasets to make route recommendations in a timely manner. First, we build a road network graph using a publicly available map service (i.e., OpenStreetMap) and other real-world datasets on traffic, weather, and air substances. Second, we utilize the existing predictors for air quality, travel time, and fuel consumption estimations to update the road network graph periodically. Third, we design the route recommendation system using the Q-learning reinforcement learning approach considering the given user's preference for travel time, fuel consumption, and air quality. To evaluate the proposed approach's performance, we conduct experimental evaluations based on the real-world datasets with publicly available map service.","Recommender Systems ,  Route Recommendation ,  Multi-objective Routing ,  Air Quality ,  Travel Time ,  Road Network ,  Real-world Datasets ,  Multiple Criteria ,  User Preferences ,  Web Map ,  Fuel Consumption ,  Air Pollution ,  Systemic Administration ,  Shortest Path ,  Light Signal ,  Multi-objective Optimization ,  Optimum Solution ,  Pathfinding ,  Edge Length ,  Multi-objective Optimization Problem ,  Road Segments ,  Q-learning Algorithm ,  Edge Attributes ,  Preference Weights ,  Source Node ,  Destination Node ,  Routing Problem ,  Directional Distance ,  Speed Profile ,  Total Computation Time "
Q-Learning Based Multi-Objective Clustering Algorithm for Cognitive Radio Ad Hoc Networks,https://ieeexplore.ieee.org/document/8932525/,13,Journal Article,IEEE,2019,"Cognitive radio (CR) is an adaptive radio technology that can automatically detect available channels in a wireless spectrum and change transmission parameters to improve radio operating behavior. Due to the dynamic nature of spectrum availability and wireless channel condition, it is very hard to maintain reliable network connectivity. Cluster-based CR ad-hoc networks (CRAHN) arrange CR nodes into groups to effectively maintain reliable autonomous networks. Clustering in CRAHN supports cooperative tasks such as spectrum sensing and channel managements and achieves network scalability and stability. In this paper, we proposed a Q-learning based cluster formation approach in CRAHN, in which Q-value is used to evaluate each node's channel quality. To form a distributed cluster network, channel quality, residual energy and neighbor node/network conditions are considered. By exchanging each node's status information in terms of channels and neighbors, each node knows neighboring topology and which node is the best candidate for cluster head (CH). Distributed CH selection, the optimum common active data channel decision, and gateway node selection procedures are presented in this paper. The proposed mechanism can extend the network lifetime, enhance the reachability not only between member nodes but also with other cluster networks, it can also provide stable and reliable service using the selected data channel and avoid possible interference between neighboring ad-hoc clusters.","Clustering Algorithm ,  Cognitive Networks ,  Ad Hoc Networks ,  Cognitive Radio ,  Multi-objective Clustering ,  Channel Activity ,  Cluster Formation ,  Common Data ,  Residual Energy ,  Channel Quality ,  Common Channel ,  Cluster Head ,  Network Lifetime ,  Average Energy ,  Single Channel ,  Quality Metrics ,  Neighboring Nodes ,  K-means Algorithm ,  Primary Signal ,  Request Message ,  Neighbor Clustering ,  Channel Clustering ,  Secondary Users ,  Cluster Nodes ,  Secondary Nodes ,  Routing Algorithm ,  Medium Access Control ,  Idle Time ,  Potential Rewards "
Field Trial of Privacy-preserving Resource Allocation in Multi-domain Optical Networks Based on Federated Reinforcement Learning,https://ieeexplore.ieee.org/document/10369176/,0,Conference Paper,IEEE,2023,"We propose and demonstrate federated reinforcement learning enabled multi-domain optical networks resource allocation in China's national network across over 2420 km, saving 30% decision time and obtaining even better optimal configuration without sensitive information disclosure.","Resource Allocation ,  Field Trials ,  Optical Networks ,  Federated Reinforcement Learning ,  Information Disclosure ,  National Network ,  Decision Time ,  Service Providers ,  Network Topology ,  Data Privacy ,  Global Status ,  Global Optimization ,  Network Size ,  Network State ,  Privacy Protection ,  Location Decisions ,  Communication Cost ,  Public Network ,  Edge Nodes ,  Service Requests ,  Block Ratio ,  Network In China ,  Routing Path ,  Nationwide Network ,  Raw Information ,  Destination Node "
A Q-Learning-Based Approach for Enhancing Energy Efficiency of Bluetooth Low Energy,https://ieeexplore.ieee.org/document/9328753/,4,Journal Article,IEEE,2021,"Bluetooth low energy (BLE) is a promising candidate technology for use in the Internet of Things (IoT) because of its ultra-low-power communication. Although BLE devices are designed to run on a small battery for a few years, several attempts have been made to extend BLE lifetime through various techniques. In particular, emerging approaches such as artificial intelligence (AI) can be utilized to further improve the BLE energy efficiency. For this purpose, this article proposes a Q-learning-based scheduling algorithm for BLE. The proposed scheduling algorithm dynamically adjusts the key parameters that govern the operation of the BLE transmission scheme. These key parameters, namely, the length of connection interval and the number of packets to transmit during the interval, have a profound effect on energy efficiency and the quality of service (QoS) specified in terms of maximum latency. According to the framework of reinforcement learning, our Q-learning-based scheduling algorithm is appropriately constructed to simultaneously provide a longer network lifetime and satisfy the QoS requirement. The numerical results show that the proposed Q-learning-based approach significantly increases the network lifetime compared to alternative methods while meeting QoS requirements.","Energy Efficiency ,  Service Quality ,  Internet Of Things ,  Interval Length ,  Longer Lifetime ,  Scheduling Algorithm ,  Quality Of Service Requirements ,  Maximum Latency ,  Network Lifetime ,  Model System ,  Optimization Algorithm ,  Wireless Networks ,  Duty Cycle ,  Reward Function ,  Data Packets ,  Unit Energy ,  Reinforcement Learning Algorithm ,  Sleep Period ,  Arrival Rate ,  Transmission Parameters ,  Transmission Ratio ,  Packet Arrival ,  Battery Level ,  Packet Loss ,  Network Devices ,  Greedy Policy ,  Routing Algorithm ,  State-action Pair ,  Average Reward "
SOMACA: A New Swarm Optimization-Based and Mobility-Aware Clustering Approach for the Internet of Vehicles,https://ieeexplore.ieee.org/document/10122916/,9,Journal Article,IEEE,2023,"The Internet of Vehicles (IoV) has evolved from the classic Vehicular Ad-hoc NETworks (VANETs) as a result of the emergence of the Internet of Things (IoT). IoV is used for communication among vehicles in real-time with their drivers, other vehicles, pedestrians, fleet management systems, and roadside infrastructure. High vehicular speeds and frequent network topology changes make vehicle communication extremely difficult on the IoV network. More constraints are imposed on IoV communication performance in a huge network environment due to the difficult road conditions and the enormous quantity of vehicles. A promising approach to improve the IoV communication performance is through vehicle clustering. Minimizing the number of clusters and identifying a reliable Cluster head (CH) are some of the most challenging tasks. In this paper, we propose a Swarm optimization-based and mobility-aware clustering method termed SOMACA. SOMACA consists of two phases clustering phase and the routing phase. During the clustering phase, we combine mobility measures and cluster distance to generate the minimum number of clusters having stable CHs and employ the Sparrow Search algorithm (SSA) for CH selection. The routing phase consists of two steps (1) Route Formation and (2) Route Upkeep. The main target for route formation step is to build a secure routing path between IoV nodes and base station (BS) by establishing an optimal list of links that are ordered from high to low, and in each round, it selects the best one. Moreover, the Upkeep step aims to update and maintain the existing connection. The performance of SOMACA is assessed using simulation experiments with various metrics including average cluster lifetime, transmission range, and network grid size. The simulation results show that SOMACA reduces the average number of clusters by 
 $42\%, 48\%, 47\%, 9\%$ 
, 22%,31%, 16%, and 43% less than CAVDO, GOA, GWOCNET, MFCA-IOV, MOGA-AWCP, HHOCNET, AMONE, and p-WOA algorithms respec...","Internet Of Vehicles ,  High Speed ,  Clustering Method ,  Internet Of Things ,  Network Topology ,  Grid Size ,  Network Clustering ,  Average Lifetime ,  Topological Changes ,  Transmission Range ,  Vehicle Communication ,  Clustering Phase ,  Vehicular Ad Hoc Networks ,  Cluster Head ,  Changes In Network Topology ,  Objective Function ,  Optimization Algorithm ,  Random Number ,  Clustering Algorithm ,  Cloud Computing ,  Routing Algorithm ,  Roadside Units ,  Efficient Clustering ,  Optimal Clustering ,  Intelligent Transportation Systems ,  Trust Value ,  Deep Reinforcement Learning ,  On-board Unit ,  Malicious Nodes ,  Deep Reinforcement Learning Agent "
Energy-Efficient and QoS-Aware Data Transfer in Q-Learning-Based Small-World LPWANs,https://ieeexplore.ieee.org/document/10214496/,1,Journal Article,IEEE,2023,"The widespread use of the Internet of Things (IoT) necessitates large-scale communication among smart IoT devices (IoDs) across a wide geographical area. However, due to the limited radio range and scalability issues of traditional wireless sensor networks, wide-area communication among IoDs is not feasible. As a solution, a low-power wide-area network (LPWAN) is emerging as one of the techniques that can provide long-range communication with minimal power consumption. Nevertheless, the direct data transmission approach will no longer be viable due to its short network lifetime. As such, multihop data routing strategies for LPWANs are proposed in the literature. However, multihop data transmission has several challenges, including increased data latency, energy imbalance, poor bandwidth utilization, and low data throughput. To address these challenges, we propose a novel method that uses the machine learning technique for an energy-efficient and Quality-of-Service (QoS)-aware data transfer based on a recent breakthrough in social networks known as small-world characteristics (SWC). The network having SWC (i.e., low average path length and high average clustering coefficient) uses long-range links to reduce the number of intermediate hops for data transmission. In particular, a 
 $Q$ 
-learning framework is utilized for introducing optimal long-range links between the selected IoDs, resulting in the development of a small-world LPWAN (SW-LPWAN). Furthermore, the performance of the proposed method is computed in terms of energy efficiency and QoS. Moreover, the results are compared with existing data routing techniques, such as low-energy adaptive clustering hierarchy (LEACH), modified LEACH, conventional multihop, and direct data transmission. Specifically, the proposed method maintains 29% more alive nodes, 18% higher residual energy, and 22% higher data throughput compared to the second-best-performing method. As such, the obtained experimental results validate tha...","Data Transfer ,  Low Power Wide Area Networks ,  Energy Consumption ,  Performance Of Method ,  Energy Efficiency ,  Internet Of Things ,  Data Transmission ,  Wide Area ,  Direct Transmission ,  Internet Of Things Devices ,  Wireless Sensor Networks ,  Average Path Length ,  Residual Energy ,  Wide Geographical Area ,  Data Throughput ,  Wide Area Network ,  Network Lifetime ,  Bandwidth Utilization ,  Small-world Characteristics ,  Measurement Model ,  Data Packets ,  Average Latency ,  Total Delay ,  Reinforcement Learning Techniques ,  Conventional Network ,  Small World ,  Small-world Network ,  Energy Requirements ,  Transmission Delay ,  Processing Delay "
Curious SDN for network attack mitigation,https://ieeexplore.ieee.org/document/9742225/,1,Conference Paper,IEEE,2021,"The increasing number of connected IoT devices in recent years has led to a significant growth in the volume of cyber attack instances. Since the IoT devices include home automation sensors, medical equipment, vehicular sensors, nuclear reactors and life-critical real-time sensing devices, lack of security in IoT can pose a risk to human lives. In this study, we focus on the problem of attack detection and mitigation with the help of recently emerging reinforcement machine learning which has already demonstrated excellent suitability for several cyber security applications. In particular, we are implementing an intelligent agent which manipulates network security policies depending on the current state of the environment. These manipulations include pushing software-defined networking flows to the network controller as well as adjusting detection sensitivity of security appliances used for intrusion and anomaly detection. To encourage the environment exploration, the agent is provided with an intrinsic curiosity reward signal based on how hard it is for the agent to predict the consequences of its own actions. We evaluate the resulting framework against several attack scenarios using realistic network traffic datasets and the simulation results confirmed the viability of the approach proposed.","Attack Mitigation ,  Machine Learning ,  Simulation Results ,  Nuclear Reactors ,  Intelligence Agencies ,  Anomaly Detection ,  Internet Of Things Devices ,  Volume Growth ,  Suitability For Applications ,  Attack Detection ,  Lack Of Security ,  Reward Signal ,  Intrinsic Rewards ,  Attack Scenarios ,  Objective Function ,  Functional Networks ,  Machine Learning Models ,  Recurrent Neural Network ,  Traffic Flow ,  Reward Function ,  Virtual Network Functions ,  Proximal Policy Optimization ,  Reinforcement Learning Agent ,  Flow Routing ,  Reinforcement Learning Approach ,  Deep Reinforcement Learning ,  Parallel Environment ,  Actual Probability ,  Self-organizing Map ,  Reinforcement Learning Algorithm "
Adaptive Forwarding Delay Control for VANET Data Aggregation,https://ieeexplore.ieee.org/document/5740863/,38,Journal Article,IEEE,2012,"In-network data aggregation is a useful technique to reduce redundant data and to improve communication efficiency. Traditional data aggregation schemes for wireless sensor networks usually rely on a fixed routing structure to ensure data can be aggregated at certain sensor nodes. However, they cannot be applied in highly mobile vehicular environments. In this paper, we propose an adaptive forwarding delay control scheme, namely Catch-Up, which dynamically changes the forwarding speed of nearby reports so that they have a better chance to meet each other and be aggregated together. The Catch-Up scheme is designed based on a distributed learning algorithm. Each vehicle learns from local observations and chooses a delay based on learning results. The simulation results demonstrate that our scheme can efficiently reduce the number of redundant reports and achieve a good trade-off between delay and communication overhead.","Aggregate Data ,  Adaptive Control ,  Vehicular Ad Hoc Networks ,  Learning Algorithms ,  Number Of Reports ,  Sensor Networks ,  Communication Overhead ,  Adaptive Control Scheme ,  Aggregation Scheme ,  Distributed Learning ,  Learning Process ,  Local Knowledge ,  Traffic Congestion ,  Function Approximation ,  Propagation Distance ,  Markov Decision Process ,  Reinforcement Learning Algorithm ,  Road Segments ,  Fuzzy Rules ,  Optimal Action ,  Vehicle Density ,  Markov Decision Process Model ,  Q-function ,  Traffic Information ,  Total Delay ,  Aggregation Operators ,  Ad Hoc Networks ,  State Transition Model ,  Dedicated Short Range Communication ,  Straight Road "
SARSA-Based CoAP Mode and Route Selection Joint Optimization in Power Underground Pipe Gallery,https://ieeexplore.ieee.org/document/9617767/,0,Conference Paper,IEEE,2021,"With the rigid quality of service (QoS) requirements of electricity services, wired communication networks in the urban power underground pipe gallery is facing many challenges. Traditional communication protocol and route selection can no longer supply the differentiated QoS demand of electricity services. This paper proposes a state-action-reward-state-action (SARSA)-based constrained application protocol (CoAP) mode and route selection joint optimization algorithm. The optimization objective is to jointly minimize the transmission delay and packet loss under the electromagnetic interference. Then, the proposed algorithm has been compared with shortest route selection (SRS)-based confirmed and non-confirmed mode algorithms through simulations. The simulation results demonstrate that the proposed algorithm can satisfy differentiated QoS requirements for urban power underground pipe gallery data transmission.","Selective Modulators ,  Joint Optimization ,  Route Selection ,  Constrained Application Protocol ,  Pipe Gallery ,  Service Quality ,  Data Transmission ,  Electromagnetic Interference ,  Communication Protocol ,  Transmission Delay ,  Service Requirements ,  Packet Loss ,  Quality Of Service Requirements ,  Electricity Services ,  Transmission Mode ,  Transmission Routes ,  Feasible Solution ,  Time Slot ,  Optimal Selection ,  Optimal Decision ,  Markov Decision Process Model ,  Data Packets ,  Wireless Sensor Nodes ,  Optimal Probability ,  Markov Decision Process ,  Wireless Sensor Networks ,  Real-time Transmission ,  Deep Reinforcement Learning ,  Wireless Sensor ,  Sum Of Weights "
Maximum End-to-End Latency Minimization in UAV-Assisted IoT Networks,https://ieeexplore.ieee.org/document/10008634/,0,Conference Paper,IEEE,2022,"With the advancement in wireless communications and smart device technologies, the Internet of Things (IoT) will make future services and applications more automatic and intelligent. However, the transmission rate and range of IoT devices are restricted by the limited battery power, which makes it challenging to provide satisfying services for delay-sensitive applications. Thanks to the high flexibility of unmanned aerial vehicles (UAVs), we propose a UAV-assisted IoT network model, where the UAV acts as the relay to help IoT nodes transmit their packets to the access point to prevent the network from overloading. With the aim of minimizing the maximum endto-end latency, a joint UAV trajectory design and IoT device scheduling problem is formulated. As the problem cannot be formulated with explicit expressions, it is intractable to solve the problem with traditional model-driven optimization algorithms. Therefore, we adopt deep reinforcement learning to solve this problem, and propose a soft actor-critic (SAC) based algorithm for its high sampling efficiency. Numerical results demonstrate that the maximum network end-to-end latency is substantially reduced with the assistance of the UAV. Moreover, the proposed SAC algorithm is shown to possess higher sampling efficiency than the deep Q-network","Internet Of Things ,  Internet Of Things Networks ,  Latency Minimization ,  Transmission Rate ,  Unmanned Aerial Vehicles ,  Sampling Efficiency ,  Explicit Expression ,  Internet Of Things Devices ,  Deep Reinforcement Learning ,  Deep Q-network ,  Unmanned Aerial Vehicle Trajectory ,  Internet Of Things Nodes ,  Trajectory Design ,  Benchmark ,  Neural Network ,  Loss Of Generality ,  Time Slot ,  Channel Model ,  Path Loss ,  Training Step ,  Internet Of Things Sensors ,  Ground Nodes ,  Temperature Coefficient ,  Reward Function ,  Power Nodes ,  Policy Network ,  Routing Scheme ,  Circularly Symmetric Complex Gaussian ,  Channel Gain ,  Policy Improvement "
