title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
SSDWSN: A Scalable Software-Defined Wireless Sensor Networks,https://ieeexplore.ieee.org/document/10422802/,0,Journal Article,IEEE,2024,"In multi-hop wireless sensor networks (WSNs), sensors operate autonomously and make routing decisions independently. However, these devices are often located in remote or inaccessible areas and have limited energy and memory resources. As the network scales, efficient management to conserve resources and extend its lifetime becomes increasingly challenging. Software-defined WSNs (SDWSNs) offer a solution by enabling centralized control of low-power WSNs. However, continuously updating the controller with the network state generates significant traffic, resulting in energy loss, increased overhead, and reduced scalability and network lifetime. This study proposes a scalable SDWSN framework (SSDWSN) to address these challenges. The proposed approach focuses on scheduling, balanced routing, aggregation, and reducing traffic overhead caused by periodic network state updates to the controller. This paper presents the architecture of the proposed framework, along with the Deep Reinforcement Learning (DRL) agent. It also proposes two Proximal Policy Optimization (PPO)-based learning policies, namely PPO-ATCP and PPO-NSFP. These policies are designed to efficiently utilize SDWSN network resources and accurately predict the network state by continuously monitoring the synchronized network state within the controller, taking appropriate actions, and updating the learning parameters based on reward functions. The simulation results demonstrate the effectiveness of PPO-ATCP and PPO-NSFP in reducing controller-bound traffic overhead by 57% and 85%, respectively, while improving energy efficiency by 28% and 53% in SDWSNs. Additionally, PPO-NSFP achieved a minimum accuracy of 85% in network state prediction under different network-size scenarios.","Scalable ,  Wireless Sensor ,  Wireless Sensor Networks ,  Software-defined Wireless Sensor Networks ,  Energy Source ,  Deep Learning ,  Energy Efficiency ,  Utilization Efficiency ,  Network State ,  Optimal Policy ,  Network Resources ,  Reward Function ,  Deep Reinforcement Learning ,  Improve Energy Efficiency ,  Policy Learning ,  Memory Resources ,  Network Lifetime ,  Proximal Policy Optimization ,  Deep Reinforcement Learning Agent ,  Energy Consumption ,  Sink Node ,  Traffic Congestion ,  Received Signal Strength Indicator ,  Global Status ,  Global View ,  Network Size ,  Network Energy ,  Traffic Conditions ,  Network Energy Consumption ,  Residual Energy "
Modeling and Performance Optimization of Wireless Sensor Network Based on Markov Chain,https://ieeexplore.ieee.org/document/9274491/,1,Journal Article,IEEE,2021,"Wireless sensor networks are usually deployed in areas with relatively harsh natural environments, and the collection node transmits data to the destination node through a multi-hop route. Therefore, how to effectively plan the transmission path is an important issue. This paper combines the unbiased gray model with the Markov chain model to establish an unbiased gray Markov chain model, and points out that the unbiased gray Markov chain model also has shortcomings in parameter selection. The particle swarm algorithm is used to improve it, and the mathematical model, calculation principle and various parameters of the particle swarm optimization algorithm are introduced, and the implementation flow chart of the particle swarm algorithm is given. Aiming at the shortcomings of the unbiased gray Markov chain model, the particle swarm algorithm and the unbiased gray Markov chain model are combined to form the particle swarm unbiased gray Markov chain model. The simulation environment and the training environment of the particle swarm unbiased grey Markov chain model were designed in the experiment. The node scheduling optimization experiment proves that the scheduling method based on the particle swarm unbiased grey Markov chain model has achieved better results in coverage and energy consumption balance than the random and shortest distance method. In the routing experiment, the experimental analysis of the node’s Q value proved the convergence of the algorithm, and compared with other protocols, it proved that the routing algorithm can effectively extend the network life cycle and achieve load balancing.","Wireless Sensor Networks ,  Energy Consumption ,  Optimization Algorithm ,  Particle Swarm ,  Shortest Distance ,  Particle Swarm Optimization ,  Optimization Experiments ,  Flowchart Of Algorithm ,  Grey Model ,  Scheduling Method ,  Routing Algorithm ,  Unbiased Model ,  Particle Swarm Algorithm ,  Hierarchical Structure ,  Forecasting ,  Simulation Experiments ,  Random Selection ,  Data Transmission ,  Wireless Networks ,  State Value ,  Particle Position ,  Residues In Sequence ,  Real-time Object ,  Reinforcement Learning Algorithm ,  Cluster Head ,  Deep Q-network ,  Ant Colony ,  Entire Network ,  Greater Volatility ,  Flight Speed "
RCAR: A Reinforcement-Learning-Based Routing Protocol for Congestion-Avoided Underwater Acoustic Sensor Networks,https://ieeexplore.ieee.org/document/8782596/,77,Journal Article,IEEE,2019,"Underwater acoustic sensor networks (UASNs) have attracted much attention due to various aquatic applications. However, UASNs have many specific characteristics, such as high propagation delay, high packet error rate, and low bandwidth, which bring challenges to network congestion control. Furthermore, the point-to-point congestion control algorithms cannot guarantee the end-to-end optimal performance. Therefore, congestion avoidance is an important issue to be considered when designing routing protocols for UASNs. In addition, since the sensor nodes deployed underwater are powered by batteries, which are hard to be replaced or recharged, energy limitation should be taken into account as well. In this paper, we propose a reinforcement-learning-based congestion-avoided routing (RCAR) protocol to reduce the end-to-end delay and energy consumption. With the application of reinforcement learning, the protocol converges to the optimal route from the source node to the surface sink by exploring hop-by-hop. In RCAR, a reward function in reinforcement learning is defined in which congestion and energy are both considered for adequate routing decision. To accelerate the convergence of the algorithm, we introduce a dynamic virtual routing pipe with variable radius, which is related to the average residual energy of the neighbors of the sender node. Moreover, in the cross-layer-information-based RCAR protocol, an information update method based on a handshake in the MAC layer is proposed, which guarantees the optimal routing decision. The simulation results show that the proposed RCAR protocol outperforms hop-by-hop vector-based forwarding protocol (HHVBF), QELAR, and GEDAR in terms of convergence speed, energy efficiency, and end-to-end delay.","Sensor Networks ,  Acoustic Networks ,  Energy Consumption ,  Energy Efficiency ,  Average Energy ,  Neighboring Nodes ,  Bit Error Rate ,  Pathfinding ,  Reward Function ,  Source Node ,  Propagation Delay ,  Residual Energy ,  Dynamic Routing ,  Routing Decisions ,  Application Of Reinforcement Learning ,  Variable Radius ,  Information Exchange ,  Local Information ,  Dense Network ,  Energy Distribution ,  Sink Node ,  Packet Forwarding ,  Communication Range ,  Packet Delivery Ratio ,  Optimal Policy ,  Packet Transmission ,  Constant Cost ,  Initiation Phase ,  Undersea ,  Buffer State "
Network-Lifetime Maximization of Wireless Sensor Networks,https://ieeexplore.ieee.org/document/7322190/,45,Journal Article,IEEE,2015,"Network lifetime (NL) maximization techniques have attracted a lot of research attention owing to their importance for extending the duration of the operations in the battery-constrained wireless sensor networks (WSNs). In this paper, we consider a two-stage NL maximization technique conceived for a fully-connected WSN, where the NL is strictly dependent on the source node's (SN) battery level, since we can transmit information generated at the SN to the destination node (DN) via alternative routes, each having a specific route lifetime (RL) value. During the first stage, the RL of the alternative routes spanning from the SN to the DN is evaluated, where the RL is defined as the earliest time, at which a sensor node lying in the route fully drains its battery charge. The second stage involves the summation of these RL values, until the SN's battery is fully depleted, which constitutes the lifetime of the WSN considered. Each alternative route is evaluated using cross-layer optimization of the power allocation, scheduling and routing operations for the sake of NL maximization for a predetermined per-link target signal-to-interference-plus-noise ratio values. Therefore, we propose the optimal but excessive-complexity algorithm, namely, the exhaustive search algorithm (ESA) and a near-optimal single objective genetic algorithm (SOGA) exhibiting a reduced complexity in a fully connected WSN. We demonstrate that in a high-complexity WSN, the SOGA is capable of approaching the ESA's NL within a tiny margin of 3.02% at a 2.56 times reduced complexity. We also show that our NL maximization approach is powerful in terms of prolonging the NL while striking a tradeoff between the NL and the quality of service requirements.","Sensor Networks ,  Wireless Sensor Networks ,  Optimization Algorithm ,  Service Quality ,  Alternative Route ,  Battery Charging ,  Specific Routes ,  Quality Of Service Requirements ,  Network Lifetime ,  Battery Level ,  Exhaustive Search Algorithm ,  Computational Complexity ,  Low Complexity ,  Random Selection ,  Network Topology ,  Additive Noise ,  Bit Error Rate ,  Bit Error ,  Candidate Solutions ,  Battery Capacity ,  Distinct Routes ,  Signal-to-interference-plus-noise Ratio ,  Quadrature Phase Shift Keying ,  Crossover Operator ,  Genetic Operators ,  Route Selection ,  Transmission Phase ,  Single Route ,  Routing Information ,  Routing Algorithm "
Optimal Route Selection in 5G-based Smart Health-care Network: A Reinforcement Learning Approach,https://ieeexplore.ieee.org/document/9609815/,2,Conference Paper,IEEE,2021,"Smart health-care is the most promising application of the next-generation 5G wireless network. Because of low latency and high data rate, many applications with high resources are supporting 5G, including smart health-care application. In smart health-care, medical sensors exchange data to establish a network. However, the mobility of nodes and density changes the network topology usually. Medical sensor nodes have limited energy, which is used for transmission and receiving of data. In this paper, an idea of selection of route is distinguished by taking into account of stability and higher residual energy in 5G-based smart health-care network to decrease energy consumption along with links disconnection and improve network lifetime. For this purpose, we present reinforcement learning-based algorithm and investigate the effect of various learning rates on energy consumption, links disconnection and network lifetime in smart health-care network.","Pathfinding ,  Reinforcement Learning Approach ,  Route Selection ,  Smart Healthcare ,  Optimal Route Selection ,  Energy Consumption ,  Learning Rate ,  Network Topology ,  Wireless Networks ,  Decreased Energy Expenditure ,  Residual Energy ,  Mobile Nodes ,  Network Lifetime ,  Service Quality ,  Small Cell ,  Dense Network ,  Data Transmission ,  Neighboring Nodes ,  Energy Model ,  Higher Learning Rate ,  Destination Node ,  Routing Scheme ,  Broken Links ,  Communication Nodes ,  Source Node ,  Selection Decisions ,  Node Selection ,  Time Nodes ,  Transmission Circuit "
A Routing Algorithm for Underwater Acoustic– Optical Hybrid Wireless Sensor Networks Based on Intelligent Ant Colony Optimization and Energy-Flexible Global Optimal Path Selection,https://ieeexplore.ieee.org/document/10502320/,0,Journal Article,IEEE,2024,"Due to the increasing demand for oceanic exploration, routing algorithms in underwater wireless sensor networks (UWSNs) have garnered widespread research interest. However, the majority of current routing algorithms only use a single transmission medium and consider the information from merely one or two hops when selecting relay nodes, thereby attaining limited achievement of globally optimal path selection. To address these issues, in this article, we propose a routing algorithm for underwater acoustic–optical hybrid wireless sensor networks based on intelligent ant colony optimization and energy-flexible (IAEF) global optimal path selection. Given the diverse energy-consumption characteristics of acoustic and optical waves, the proposed IAEF algorithm uses acoustic waves in seeking optimal path and optical waves in delivering data packets. In contrast to other routing algorithms based on ant colony techniques, the proposed IAEF algorithm enables source nodes to select the optimal path for data transmission with the heuristic factor updated according to a comprehensive consideration on remained energy and transmission deviation angle. Considering the limited energy in networks, the proposed IAEF algorithm designs an energy classification network update mechanism with flexible cycles, which enables network updates according to an adjustable energy threshold for the nodes along the optimal path. In addition, a protection period is implemented to prevent excessive network updates to improve packet delivery rate (PDR) and network lifetime. Simulation results exhibit that the proposed IAEF algorithm can obtain up to about 37% and 78% improvements in PDR and network lifetime when compared with the classical routing algorithms adopted in the simulations.","Optical Sensors ,  Optimal Selection ,  Sensor Networks ,  Ant Colony ,  Optimal Path ,  Wireless Sensor Networks ,  Ant Colony Optimization ,  Optical Networks ,  Routing Algorithm ,  Path Selection ,  Intelligent Optimization ,  Global Path ,  Optical Hybrid ,  Optimal Path Selection ,  Global Optimal Path ,  Data Transmission ,  Acoustic Waves ,  Angle Difference ,  Data Packets ,  Source Node ,  Network Energy ,  Energy Consumption ,  Multi-agent Reinforcement Learning ,  Periodic Updates ,  Undersea ,  Residual Energy ,  Reduce Energy Consumption ,  Acoustic Sensors ,  Sink Node ,  Energy Of Nodes "
Reinforcement Learning Framework for Delay Sensitive Energy Harvesting Wireless Sensor Networks,https://ieeexplore.ieee.org/document/9292079/,9,Journal Article,IEEE,2021,"A multi-hop energy harvesting wireless sensor network (EH-WSNs) is a key enabler for future communication systems such as the internet-of-things. Optimal power management and routing selection are important for the operation and successful deployment of EH-WSNs. Characterizing the optimal policies increases significantly with the number of nodes in the network. In this paper, optimal control policy is devised based on minimum-delay transmission in a multi-hop EH-WSN using reinforcement learning (RL). The WSN consists of M EH sensor nodes aiming to transmit their data to a sink node with a minimum delay. Each sensor node is equipped with a battery of limited capacity to save the harvested energy and a data buffer of limited size to store both the sensed and relayed data from neighboring nodes. Centralized and distributed RL algorithms are considered for EH-WSNs. In the centralized RL algorithm the control action is taken at a central unit using the state information of all sensor nodes. In the distributed RL algorithm the control action is taken locally at each sensor node using its state of information and the state information of neighboring nodes. The proposed RL algorithms are based on the state-action-reward-state-action (SARSA) algorithm. Simulation results demonstrate the merits of the proposed algorithms.","Energy Harvesting ,  Wireless Sensor ,  Wireless Sensor Networks ,  Reinforcement Learning Framework ,  Energy Harvesting Wireless Sensor ,  Optimal Control ,  Central Unit ,  Optimal Policy ,  Neighboring Nodes ,  Optimal Power ,  Reinforcement Learning Algorithm ,  Node Information ,  Minimum Delay ,  Route Selection ,  Sink Node ,  Optimal Control Policy ,  Resource Allocation ,  State Space ,  Linear Approximation ,  Time Slot ,  Multi-agent Reinforcement Learning ,  Average Reward ,  Feasibility Constraints ,  Greedy Policy ,  Buffering Capacity ,  Reward Function ,  Number Of Sensor Nodes ,  Markov Decision Process ,  Optimal Power Allocation ,  Buffer State "
An energy efficient topology control scheme with connectivity learning in wireless networks,https://ieeexplore.ieee.org/document/6968247/,3,Conference Paper,IEEE,2014,"In wireless networks, due to the variation in environmental and link characteristics, the network topology will change over time. The foremost feature that affects the connectivity and lifetime of a network is the distributed topology control. Nodes in a wireless network are resource constrained. Topology control algorithms should be helpful to improve the energy utilization, reduce interference between nodes and extend lifetime of the networks operating on battery power. This paper proposes a topology control and maintenance scheme while learning the network link characteristics. The system learns the varying network link characteristics using reinforcement learning technique and gives an optimal choice of paths to be followed for packet forwarding. The algorithm calculates the number of neighbors a node can have, which helps to reduce power consumption and interference effects. The algorithm also ensures strong connectivity in the network so that reachability between any two nodes in the network is guaranteed. Analysis and simulation results illustrate the correctness and effectiveness of our proposed algorithm.","Energy Efficiency ,  Wireless Networks ,  Topology Control ,  Learning In Wireless Networks ,  Strong Connection ,  Network Topology ,  Interference Effect ,  Battery Power ,  Energy Utilization ,  Reinforcement Learning Techniques ,  Network Lifetime ,  Dynamic Network ,  Network Size ,  Simulation Environment ,  Sensor Networks ,  Node Status ,  Neighboring Nodes ,  Communication Cost ,  Wireless Sensor Networks ,  Node Selection ,  Sparse Graph ,  Neighbor List ,  Packet Delivery Ratio ,  Sink Node ,  Node Deployment ,  Random Topology ,  Energy Of Nodes ,  Average Node Degree ,  Minimum Total Cost ,  Wireless Communication Networks "
Reinforcement Learning for Delay Tolerance and Energy Saving in Mobile Wireless Sensor Networks,https://ieeexplore.ieee.org/document/10049537/,5,Journal Article,IEEE,2023,"Reinforcement Learning (RL) has emerged as a promising approach for improving the performance of Wireless Sensor Networks (WSNs). The Q-learning technique is one approach of RL in which the algorithm continuously learns by interacting with the environment, gathering information to take certain actions. It maximizes performance by determining the optimal result from that environment. In this paper, we propose a data gathering algorithm based on a Q-learning approach named Bounded Hop Count - Reinforcement Learning Algorithm (BHC-RLA). The proposed algorithm uses a reward function to select a set of Cluster Heads (CHs) to balance between the energy-saving and data-gathering latency of a mobile Base Station (BS). In particular, the proposed algorithm selects groups of CHs to receive sensing data of cluster nodes within a bounded hop count and forward the data to the mobile BS when it arrives. In addition, the CHs are selected to minimize the BS tour length. Extensive experiments by simulation were conducted to evaluate the performance of the proposed algorithm against another traditional heuristic algorithm. We demonstrate that the proposed algorithm outperforms the existing work in the mean of the length of a mobile BS tour and a network’s lifetime.","Sensor Networks ,  Wireless Sensor Networks ,  Mobile Wireless Sensor Networks ,  Learning Algorithms ,  Wireless Networks ,  Heuristic Algorithm ,  Reward Function ,  Cluster Nodes ,  Reinforcement Learning Algorithm ,  Data Nodes ,  Mobile Base Stations ,  Hop Count ,  Energy Consumption ,  Maximum Distance ,  Line Segment ,  Parts Of The Tree ,  Residual Energy ,  Set Of Sensors ,  Transmission Range ,  Nearest Neighbor Algorithm ,  Network Lifetime ,  Number Of Sensor Nodes ,  Routing Path ,  Subset Of Nodes ,  Star Symbol ,  Algorithm In This Paper ,  Merging Clusters ,  Relay Nodes ,  Maximum Reward "
A Novel QoS-Awared Grid Routing Protocol in the Sensing Layer of Internet of Vehicles Based on Reinforcement Learning,https://ieeexplore.ieee.org/document/8938706/,7,Journal Article,IEEE,2019,munication and Fog/Edge Computing Towards Intelligent Connected Vehicles (ICVs),"Internet Of Vehicles ,  Service Quality ,  Complex Environment ,  Network Topology ,  Wireless Networks ,  Sensor Networks ,  High-quality Services ,  Wireless Sensor ,  Wireless Sensor Networks ,  Grid Nodes ,  Highest Reliability ,  Energy Consumption ,  Election ,  Energy Levels ,  Dynamic Environment ,  Additive Noise ,  Grid Size ,  Real-time Information ,  Heterogeneous Network ,  Node Positions ,  Network Lifetime ,  State Transition Function ,  Network Delay ,  Data Delivery ,  Routing Algorithm ,  Video Information ,  Sink Node ,  Node Information ,  Geolocated ,  Artificial Intelligence Techniques "
