title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
[Retracted] Deep Learning Techniques for Peer-to-Peer Physical Systems Based on Communication Networks,https://onlinelibrary.wiley.com/doi/10.1155/2022/8013640,33,Review Article,Wiley,2022,"Existing communication networks have inherent limitations in translation theory and adapt to address the complexity of repairing new remote applications at the highest possible level. For further investigation, you are more likely to pass this test using a data-driven program and increasing the exposure of your wireless network with limited distance resources. This study focuses on various deep learning strategies used in peer-to-peer communication networks. It discusses autoencoders, productive enemy networks, deep emotional networks, common neural networks, and long-term memory, all of which show promise in all aspects of a wireless communication network. In social networks, all of these strategies provide significant reliability, robustness, and cost-effective solutions. In-depth learning enhances test-based performance that helps design, develop, and adapt wireless communication networks.",none
Energy efficient grid based k-means clustering algorithm for large scale wireless sensor networks,https://onlinelibrary.wiley.com/doi/10.1002/dac.5255,3,RESEARCH ARTICLE,Wiley,2022,"Hierarchical based routing is a kind of group-based routing that consists in creating of a virtual hierarchy among network sensor nodes. This class of routing technique is generally designed for large-scale networks. It aims to efficiently increase network lifetime by cutting the whole network into clusters. However, traditional clustering techniques show some limitations and do not take into consideration the self-organized with dynamic topology inherent in wireless sensor networks (WSNs). These limitations can lead to an unbalanced cluster head distribution that affects the whole network energy consumption. In this paper, we propose a grid-based k-means clustering protocol (named GBK), which combines grid-based routing with k-means algorithm in order to overcome the above mentioned weaknesses. From the supervised zone area size parameter, the base station determines the optimal grid size based on our optimization study. Afterwards, the k-means algorithm is executed in every grid cell generating a cluster head per cell grid where the nearest node to the grid cell centroid is elected. An enhancement of this proposed GBK algorithm named GBK-R is also proposed to extend network stability of the GBK algorithm by node scoring calculation that take as parameters the node remaining energy in addition to the distance to centroid. Our proposed GBK and GBK-R algorithms allow for an enhanced network stability and increase the network lifetime as demonstrated by our performance evaluation study. In addition, this GBK clustering algorithm provides a better network topology control and a better control of the random nature of node distribution by generating cluster heads with bounded localization.",none
The applications of the routing protocol for low-power and lossy networks (RPL) on the internet of mobile things,https://onlinelibrary.wiley.com/doi/10.1002/dac.5253,3,RESEARCH ARTICLE,Wiley,2022,"Internet of Mobile Things (IoMT) have become very popular recently. The routing protocol for low power and lossy networks (RPL) is standardized for static topologies. However, mobility is the nature of IoT. Mobility serves as a promising candidate to harness hand-off time issues, delay in data transmission, overhead, and low packet delivery rate (PDR) effectively. This study presents a comprehensive account of the mobility-aware RPL-based routing protocols to validate and compare the experimental results. Remarkably, classification methods are used in many articles. The aim is to introduce significant research efforts to improve RPL objective functions (OF) performance in hand-off time, PDR, delay, overhead, and so forth. In this regard, a complete analysis of the existing routing protocols in IoMT has been presented to compare the results. The main focus of this study is on approaches that proposed new OFs for supporting mobility in RPL. Two main categories are considered to study RPL-based routing protocol mechanisms: The mobile and static sink. The related studies on the mobile sink are divided into three groups: Single metric-based OF, composite metric OF, and hybrid routing protocols. Also, the related works based on the static sink are categorized into four groups: Fuzzy logic-based OF, trickle timer-based OF, composite metrics-based OF, and modification control messages-based OF approach. This paper presents a detailed comparison of mechanisms in each category. It also highlights the pros, cons, open issues, and evaluated metrics of each paper. Besides, challenges of mobility in the RPL-based routing protocol mechanism in IoMT for future studies.",none
Heuristic Localization Algorithm with a Novel Error Control Mechanism for Wireless Sensor Networks with Few Anchor Nodes,https://onlinelibrary.wiley.com/doi/10.1155/2018/5190543,3,Research Article,Wiley,2018,"A novel iterative localization algorithm with high accuracy and low anchor node dependency for large-scale wireless sensor networks is proposed in this paper. At each iteration, blind nodes are located using a weighted linear least squares-based algorithm. To prevent errors in the blind nodes from propagating and accumulating throughout the network, an anchor geometric feature-based error control mechanism is used to select the nodes that participate in the localization and to estimate the localization confidence. The simulation results show that the algorithm can be used when only a few anchor nodes are involved. This algorithm is more advanced than traditional methods, which often require a large number of well-placed anchor nodes to operate appropriately. By optimizing the decision parameter v of the algorithm, the average localization error of the algorithm is approximately 0.43 meters. When the ratio of anchor nodes (the ratio of the number of anchor nodes to the number of sensor nodes in the network) is 1.25% (i.e., 5 anchor nodes for 400 sensor nodes), the received signal strength indicator (RSSI) variance is 8 dBm, and the radio range is 50 meters. A comparison of the proposed algorithm with global localization methods, including multidimensional scaling (MDS), semidefinite programming (SDP), and shortest-path access (SPA), shows that the proposed algorithm achieves higher location accuracy and stability when the number of anchor nodes is varied. The efficiency of the proposed localization algorithm is evaluated in a real sensor network, and the accuracy is high and robust to radio channel variance.",none
Enhanced Route Discovery Mechanism Using Improved CH Selection Using Q-Learning to Minimize Delay,https://onlinelibrary.wiley.com/doi/10.1155/2022/3187858,2,Research Article,Wiley,2022,"With the technological advancements, practical challenges of establishing long-distance communication should be addressed using hop-oriented routing networks. However, long-distance data transmissions usually deteriorate the quality of service (QoS) especially in terms of considerable communication delay. Therefore, in the presented work, a reward-based routing mechanism is proposed that aims at minimizing the overall delay which is evaluated under various scenarios. The routing process involved a refined CH selection mechanism based on a mathematical model until a threshold simulation is not attained. The illustrations for the coverage calculations of CH in the route discovery are also provided for possible routes between the source and the destination to deliver quality service. Based on this information, the data gathered from the past simulations is passed to the learning mechanism using the Q-learning model. The work is evaluated in terms of throughput, PDR, and first dead node in order to achieve minimal transmission delay. Furthermore, area variation is also involved to investigate the effect of an increase in the deployment area and number of nodes on a Q-learning-based mechanism aimed to minimize the delay. The comparative analysis against four existing studies justifies the success of the proposed mechanism in terms of throughput, first dead node, and delay analysis.",none
Multiobjectives for Optimal Geographic Routing in IoT Health Care System,https://onlinelibrary.wiley.com/doi/10.1155/2022/7568804,6,Research Article,Wiley,2022,"In numerous internet of things (IoT) appliances, messages might require to be distributed to certain specified nodes or objects with the multicast transmission. “The multicast routing protocol can be divided into nongeographic based and geographic based.” As locations of device are roughly extracted by GPS devices, geographic-oriented multicast routing schemes were chosen, because it induces lesser overheads. Nevertheless, the extant geographic-oriented routing models are found to have particular disadvantages. After the advent of the IoT systems for remote healthcare, medical services can be rapidly provided to patients in rural areas. The IoT network encapsulates flexible sensors in the environment to collect environmental information. This gathered sensor information is sent to the nursing stations for timely medical assistance. The IoT network is wireless, which leads to security breaches. Therefore, there is a necessity to have a secured data transmission in the context of healthcare. Hence, this study intends to propose a novel optimal route selection model in IoT healthcare by deploying optimized ANFIS. Here, the optimal routes for medical data are selected using a new self-adaptive jellyfish search optimizer (SA-JSO) that is the enhanced edition of the extant JSO model. Accordingly, the optimal route selection for medical data is performed under the consideration of “energy, distance, delay, overhead, trust, quality of service (QoS), and security (high risk, low risk, and medium risk).” In the end, the performances of adopted work are compared and proved over other extant schemes.",none
Policy Gradient Approach of Event-Based Optimization and Its Online Implementation,https://onlinelibrary.wiley.com/doi/10.1002/asjc.874,5,Regular Paper,Wiley,2014,"In the theory of event-based optimization (EBO), the decision making is triggered by events, which is different from the traditional state-based control in Markov decision processes (MDP). In this paper, we propose a policy gradient approach of EBO. First, an equation of performance gradient in the event-based policy space is derived based on a fundamental quantity called Q-factors of EBO. With the performance gradient, we can find the local optimum of EBO using the gradient-based algorithm. Compared to the policy iteration approach in EBO, this policy gradient approach does not require restrictive conditions and it has a wider application scenario. The policy gradient approach is further implemented based on the online estimation of Q-factors. This approach does not require the prior information about the system parameters, such as the transition probability. Finally, we use an EBO model to formulate the admission control problem and demonstrate the main idea of this paper. Such online algorithm provides an effective implementation of the EBO theory in practice.",none
A Survey of Data Aggregation Protocols for Energy Conservation in WSN and IoT,https://onlinelibrary.wiley.com/doi/10.1155/2022/8765335,3,Review Article,Wiley,2022,"Conservation of energy has been a major concern for Wireless Sensor Networks (WSNs) and IoT applications. Several strategies were devised, aimed at optimizing energy consumption in these applications, based on: (a) use of low-powered hardware devices, (b) deploying mobile/relay agents for data collection, (c) clustering, and (d) data aggregation. Amongst these, data aggregation is widely acknowledged as an important tool to conserve energy in WSN and IoTs. The paper provides a comprehensive survey of various data aggregation strategies, discusses the efficacy of these strategies in handling issues that are typical to WSN and IoT applications. These issues severely impact the performance metrics such as: energy efficiency, latency, fault-tolerance, network throughput, and network lifetime. Therefore, to optimize the data aggregation approach, an application developer needs to arrive at optimal tradeoffs between these parameters. A major contribution of the paper is to present a holistic review of data aggregation approaches emphasizing the effect of topology, security, mobility, interference, and fault-tolerance in WSN and IoTs. Based on gap areas in literature, we throw open few challenges and present them as “posers”, and put-forth suggestions for further research.",none
[Retracted] Application of Intelligent Sensor in Mining Electrical Equipment Collection,https://onlinelibrary.wiley.com/doi/10.1155/2022/2633019,1,Research Article,Wiley,2022,"In order to meet the informatization requirements of coal mine safety monitoring, the author proposes a method for the application of smart sensors in the acquisition of mine electrical equipment. The system uses a variety of sensor fusion methods, with the help of Zigbee wireless network nodes, and passes the data collected by the sensor to the MCU core processor; thus, the collected data are processed, and then, the RS-485 communication protocol is used to upload the data to the upper station; finally, the monitoring of coal mine safety is realized through the background monitoring interface. Experimental results show that, among the five randomly selected nodes, most of the errors between the actual measured results and the collected results are concentrated within the 2% error range. Conclusion. The effect of the abovementioned acquisition scheme in coal mine application is verified, so as to realize the scientific monitoring of coal mine safety.",none
"Dissecting wireless body area networks routing protocols: Classification, comparative analysis, and research challenges",https://onlinelibrary.wiley.com/doi/10.1002/dac.5637,none,RESEARCH ARTICLE,Wiley,2023,"In the present scenario, wireless body area network (WBAN) use case has gone beyond medical monitoring (e.g., E-Healthcare) and has become a vital part of our daily lives. WBANs, applied in E-Healthcare systems, extract the physiological parameters through the implanted (in-body) and/or wearable (on-body) sensors applied to the human body and route them to the remote server in a systematized and well-grounded manner. Thus, routing is the most primitive and non-trivial task in WBANs for prompt and proper delivery of sensed data. The design of routing protocol is crucial for efficacious communication and high network performance. Therefore, the target of this paper is to present an all-encompassing taxonomy of the state-of-the-art routing protocols in WBANs. Firstly, this paper provides an insight into WBANs and their related projects. Next, WBAN routing challenges are explored, and after clustering these challenges based on their operating mechanism, the routing protocols are categorized into eight categories, which correspond to cluster- and tree-based, cross-layer-based, fuzzy-based, interference-based, posture-based, QoS-based, SDN-based, and temperature-based routing protocols. Furthermore, comparison tables highlighting the goals, strengths, limitations, and novelty of each protocol, along with a qualitative comparison table of the routing protocols for each category based on their features are furnished. This exhaustive survey can serve as a starting point for WBAN researchers, as open research issues have been highlighted in the discussion section.",none
