title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
Offering a Demand-Based Charging Method Using the GBO Algorithm and Fuzzy Logic in the WRSN for Wireless Power Transfer by UAV,https://onlinelibrary.wiley.com/doi/10.1155/2023/6326423,2,Research Article,Wiley,2023,"An extremely high number of geographically dispersed, energy-limited sensor nodes make up wireless sensor networks. One of the critical difficulties with these networks is their network lifetime. Wirelessly charging the sensors continuously is one technique to lengthen the network’s lifespan. In order to compensate for the sensor nodes’ energy through a wireless medium, a mobile charger (MC) is employed in wireless sensor networks (WRSN). Designing a charging scheme that best extends the network’s lifetime in such a situation is difficult. In this paper, a demand-based charging method using unmanned aerial vehicles (UAVs) is provided for wireless rechargeable sensor networks. In this regard, first, sensors are grouped according to their geographic position using the K-means clustering technique. Then, with the aid of a fuzzy logic system, these clusters are ranked in order of priority based on the parameters of the average percentage of battery life left in the sensor nodes’ batteries, the number of sensors, and critical sensors that must be charged, and the distance between each cluster’s center and the MC charging station. It then displays the positions of the UAV to choose the crucial sensor nodes using a routing algorithm based on the shortest and most vital path in each cluster. Notably, the gradient-based optimization (GBO) algorithm has been applied in this work for intracluster routing. A case study for a wireless rechargeable sensor network has been carried out in MATLAB to assess the performance of the suggested design. The outcomes of the simulation show that the suggested technique was successful in extending the network’s lifetime. Based on the simulation results, compared to the genetic algorithm, the proposed algorithm has been able to reduce total energy consumption, total distance during the tour, and total travel delay by 26%, 17.2%, and 25.4%, respectively.",none
WSN Protocols and Security Challenges for Environmental Monitoring Applications: A Survey,https://onlinelibrary.wiley.com/doi/10.1155/2022/1628537,8,Review Article,Wiley,2022,"In recent years, communication technology has improved exponentially, partly owing to the locations and nature of the deployment of sensor nodes. Wireless sensor networks (WSNs) comprise these sensor nodes and can provide real-time physical and environmental measurements. The sensor nodes have limited power, which reduces their lifespan, especially when placed in human-inaccessible locations. This paper reviews energy-efficient protocols for environmental monitoring applications and energy harvesting-wireless sensor networks. The dynamic deployment and communication challenges associated with environmental monitoring applications (EMAs) make this paper take into account the WSN protocol stack, focusing on the physical layer, network layer (routing), and medium access control (MAC). The paper will delve deeper into the security challenges of deploying sensor nodes for environmental monitoring applications (EMAs). The paper further describes scientific approaches that churn out innovative and engineering applications that must be followed to improve environmental monitoring applications.",none
QoS and Energy Aware Cooperative Routing Protocol for Wildfire Monitoring Wireless Sensor Networks,https://onlinelibrary.wiley.com/doi/10.1155/2013/437926,29,Research Article,Wiley,2013,"Wireless sensor networks (WSN) are presented as
proper solution for wildfire monitoring. However, this application
requires a design of WSN taking into account the network lifetime
and the shadowing effect generated by the trees in the forest
environment. Cooperative communication is a promising solution
for WSN which uses, at each hop, the resources of multiple nodes
to transmit its data. Thus, by sharing resources between nodes,
the transmission quality is enhanced. In this paper, we use the
technique of reinforcement learning by opponent modeling, optimizing
a cooperative communication protocol based on RSSI and
node energy consumption in a competitive context (RSSI/energy-CC), that is, an energy and quality-of-service aware-based cooperative
communication routing protocol. Simulation results show that the
proposed algorithm performs well in terms of network lifetime,
packet delay, and energy consumption.",none
WSN Architectures for Environmental Monitoring Applications,https://onlinelibrary.wiley.com/doi/10.1155/2022/7823481,3,Review Article,Wiley,2022,"Wireless sensor networks (WSNs) have become ubiquitous, permeating every aspect of human life. In environmental monitoring applications (EMAs), WSNs are essential and provide a holistic view of the deployed environment. Physical sensor devices and actuators are connected across a network in environmental monitoring applications to sense vital environmental factors. EMAs bring together the intelligence and autonomy of autonomous systems to make intelligent decisions and communicate them using communication technologies. This paper discusses the various architectures developed for WSNs in environmental monitoring applications and the support for specific design goals, including machine learning in WSNs and its potential in environmental monitoring applications.",none
Similarity-based clustering and data aggregation with independent component analysis in wireless sensor networks,https://onlinelibrary.wiley.com/doi/10.1002/ett.4462,2,RESEARCH ARTICLE,Wiley,2022,"Wireless sensor networks are consisted of group of sensor nodes, which are scattered in inaccessible areas with limited resources. Data aggregation and clustering methods minimize sensor network's energy usage by reducing the quantity of data transmission. Machine learning techniques like reinforcement learning, neural networks, and swarm intelligence significantly cut down the transmission of data and make use of network's distributive features. Quantity of aggregated data can be reduced if the measured data are similar. Based on this concept, a similarity based clustering method is proposed in which sensor node with similar data are grouped as a cluster for data aggregation. Then an algorithm is proposed that aggregates the data using independent component analysis which is performed on cluster head sensor nodes. Data aggregation process is executed on clusters which are having higher data similarity. Implementation shows that proposed method is performing better in terms of computational overhead, aggregation ratio, and energy consumption.",none
Machine learning deployment for energy monitoring of Internet of Things nodes in smart agriculture,https://onlinelibrary.wiley.com/doi/10.1002/dac.5888,none,RESEARCH ARTICLE,Wiley,2024,"Low-Power Wide-Area Network technologies, such as LoRa, are gaining popularity in the agricultural sector for field deployment. The crucial factors in these devices are their range and power efficiency. The energy consumption of a LoRa wireless sensor network is predominantly affected by transmission parameters like carrier frequency, bandwidth, transmit power, spreading factor, and coding rate. Incorrect chosen transmission parameters can lead to a reduction in the battery life of end nodes, requiring frequent battery replacements—a situation undesirable for field deployment. This study introduces a machine learning deployment in the form of a web application designed to monitor the energy consumption of end nodes in LoRa wireless sensor networks. The research initially employs 12 regression models, including Linear, Random Forest, K-Nearest Neighbours, Decision Tree, Support Vector, Lasso, Ridge, AdaBoost, Gradient Boost, XGBoost, CatBoost, and LightGBM models. The findings of the study reveal that the LightGBM model surpasses other models in accurately predicting the energy consumption of Internet of Things (IoT) nodes, leading to its selection for the web application. This machine learning web application can be implemented in a programmable Long Range Wide Area Network (LoRaWAN) gateway to effectively monitor the energy consumption of IoT end nodes in the agricultural sector.",none
"A review of industrial wireless communications, challenges, and solutions: A cognitive radio approach",https://onlinelibrary.wiley.com/doi/10.1002/ett.4055,15,RESEARCH ARTICLE,Wiley,2020,"Integral and crucial to performance of wireless sensor networks (WSNs), and specifically industrial wireless sensor network (IWSN) is stable, robust, reliable, and ubiquitous communications system. Though, wired communications system is suitable for industrial communications and is resilient to shadowing and multipath fading effects of industrial-WSN environments, yet its wireless counterpart is a much preferred industrial communications technology due to reduced cost and high flexibility which it offers in comparison to wired communications. However, overcrowding of the industrial, scientific, and medical band, where IWSN is deployed together with other heterogeneous technologies, as well as resultant scarcity of usable frequency spectrum has restrained exclusive application of wireless technology for industrial communications. Nonetheless, cognitive radio (CR) has ability to increase spectrum utilization efficiency and channel capacity for industrial wireless communications (IWC) through opportunistic/dynamic spectrum access (DSA) technique. In this review article, we examine how DSA can benefit IWC through exploitation of new perspectives of white space definitions in the licensed bands as well as unlicensed bands. While discussing the potential of DSA for IWC, we have considered the unique characteristics of IWC as well as technical challenges and issues imposed by industrial-WSN. Accordingly, we have suggested and proffered appropriate CR-based solutions in mitigating some of the challenges where necessary.",none
An intelligent MAC protocol for mission critical applications in wireless sensor networks,https://onlinelibrary.wiley.com/doi/10.1002/cpe.7813,none,RESEARCH ARTICLE,Wiley,2023,"In the current age, wireless sensor networks (WSN) are growing the attention of researchers. WSNs are significantly used in a broad scope of real-time monitoring applications. With ongoing advances and requirements in industrial emerging time-critical applications, WSNs have been accordingly stretched out to help the reliable, time-bound data delivery. In WSNs, node organization, resource limitations, topology varieties, providing delay guarantees for channel access, and transmission time barrier are the most significant challenges in real-time handling traffic. Suppose critical data packets arrive from sensor nodes simultaneously. In that case, finding the optimal path for the transmission of data packets so that data are reached within time bounds, taking into account the current network scenario, is a more inspiring task. With this perspective, in order to provide a priority-based transmission scheme, an improved adaptive media access control (MAC) protocol is proposed to support priority-based channel access considering the current network scenario, which ensures time-bounded reliable transfer of critical data packets. The proposed system uses an adaptive learning-centered approach to find the optimum path for sending critical data packets in varying network scenarios. The proposed mission-critical MAC (MC-MAC) protocol is assessed arithmetically to offer reliable and time-bounded transmission for emergency data packets.",none
[Retracted] Swarm Intelligence with Adaptive Neuro-Fuzzy Inference System-Based Routing Protocol for Clustered Wireless Sensor Networks,https://onlinelibrary.wiley.com/doi/10.1155/2022/7940895,7,Research Article,Wiley,2022,"Wireless sensor network (WSN) comprises numerous compact-sized sensor nodes which are linked to one another. Lifetime maximization of WSN is considered a challenging problem in the design of WSN since its energy-limited capacity of the inbuilt batteries exists in the sensor nodes. Earlier works have focused on the design of clustering and routing techniques to accomplish energy efficiency and thereby result in an increased lifetime of the network. The multihop route selection process can be treated as an NP-hard problem and can be solved by the use of computational intelligence techniques such as fuzzy logic and swarm intelligence (SI) algorithms. With this motivation, this article aims to focus on the design of swarm intelligence with an adaptive neuro-fuzzy inference system-based routing (SI-ANFISR) protocol for clustered WSN. The proposed SI-ANFISR technique aims to determine the cluster heads (CHs) and optimal routes for multihop communication in the network. To accomplish this, the SI-ANFISR technique primarily employs a weighted clustering algorithm to elect CHs and construct clusters. Besides, the SI-ANFISR technique involves the design of an ANFIS model for the selection process, which make use of three input parameters, namely, residual energy, node degree, and node history. In order to optimally adjust the membership function (MF) of the ANFIS model, the squirrel search algorithm (SSA) is utilized. None of the earlier works have used ANFIS with SSA for the routing process. The design of SSA to tune the MFs of the ANFIS model for optimal routing process in WSN shows the novelty of the study. The experimental validation of the SI-ANFISR technique takes place, and the results are inspected under different aspects. The simulation results highlighted the significant performance of the SI-ANFISR technique compared to the recent techniques with a maximum throughput of 43838 kbps and residual energy of 0.4800J, respectively.",none
Efficient and secure routing protocol based on Blockchain approach for wireless sensor networks,https://onlinelibrary.wiley.com/doi/10.1002/cpe.6144,11,RESEARCH ARTICLE,Wiley,2020,"Embedded systems and wireless sensor networks (WSN) are found today in increasingly critical areas of applications. They have become integrated and embedded in nearly all aspects of everyday life, including manufacturing, healthcare, education, critical infrastructure, and entertainment. The number of connected devices continues to grow, and due to the insecure nature of these devices, the amount of risk continues to grow as well. These risks, however, can be mitigated with the creation and adoption of WSN security standards developed to create an environment of safety, security, and confidence in the technology. Designing the security policy for WSNs requires asking some preliminary questions. These questions are particularly important in the case of WSNs because their use is highly decentralized. Blockchain's ability on governing decentralized networks makes it especially suitable for designing a self-managing system on WSN devices. This article proposes a routing protocol that uses Blockchain technology to offer a shared memory between the network's nodes. The simulation results have shown that this solution could be applicable and could resolve the issues cited above.",none
